CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
AD_D_B_N_S_01,19/01/2017,20/01/2017,AD,D,B,N,S,1,1.17,0.9,3.79,251,109,06/05/2018,,,,,
AD_D_G_S_S_01,21/01/2017,22/01/2017,AD,D,G,S,S,1,0.64,0.62,4.83,241,109,06/05/2018,,,,,
AD_D_R_S_S_01,21/01/2017,22/01/2017,AD,D,R,S,S,1,0.71,0.68,3.7,240,99,06/05/2018,,,,,
AD_D_Y_N_S_01,19/01/2017,20/01/2017,AD,D,Y,N,S,1,0.87,0.69,4.45,221,91.5,06/05/2018,,,,,
AD_S_B_N_S_01,18/01/2017,19/01/2017,AD,S,B,N,S,1,0.96,0.77,4.96,275,101,06/05/2018,3.21,2.45,7.26,302,140
AD_S_G_N_S_01,20/01/2017,21/01/2017,AD,S,G,N,S,1,0.69,0.63,3.99,231,95,06/05/2018,,,,,
AD_S_N_N_S_01,22/01/2017,23/01/2017,AD,S,N,N,S,1,0.97,0.79,6.78,253,111,06/05/2018,,,,,
AD_S_R_N_S_01,18/01/2017,19/01/2017,AD,S,R,N,S,1,0.72,0.69,4.56,266,92,06/05/2018,,,,,
AD_S_Y_N_S_01,20/01/2017,21/01/2017,AD,S,Y,N,S,1,0.74,0.75,4.93,250,100,06/05/2018,,,,,
AM_D_B_N_S_01,19/01/2017,20/01/2017,AM,D,B,N,S,1,0.73,0.55,4.22,232,93,06/05/2018,,,,,
AM_D_G_N_S_01,21/01/2017,22/01/2017,AM,D,G,N,S,1,0.94,0.7,10.53,259,121,06/05/2018,,,,,
AM_D_N_N_S_01,23/01/2017,24/01/2017,AM,D,N,N,S,1,1.4,1.1,6.7,247,104.5,06/05/2018,,,,,
AM_D_R_N_S_01,21/01/2017,22/01/2017,AM,D,R,N,S,1,0.72,0.62,7.78,240,96,06/05/2018,1.22,1.18,9.35,287,131
AM_D_Y_S_S_01,19/01/2017,20/01/2017,AM,D,Y,S,S,1,0.67,0.65,4.86,216,91,06/05/2018,,,,,
AM_S_B_N_S_01,18/01/2017,19/01/2017,AM,S,B,N,S,1,0.53,0.54,4.5,269,93,06/05/2018,,,,,
AM_S_G_S_S_01,20/01/2017,21/01/2017,AM,S,G,S,S,1,0.82,0.7,5.53,237,91,06/05/2018,,,,,
AM_S_N_N_S_01,22/01/2017,23/01/2017,AM,S,N,N,S,1,0.99,0.81,6.72,259,100.5,06/05/2018,,,,,
AM_S_R_N_S_01,18/01/2017,19/01/2017,AM,S,R,N,S,1,0.66,0.63,5.03,284,98,06/05/2018,,,,,
AM_S_Y_S_S_01,20/01/2017,21/01/2017,AM,S,Y,S,S,1,0.84,0.81,7.12,235,102,06/05/2018,,,,,
PC_D_B_S_S_01,19/01/2017,20/01/2017,PC,D,B,S,S,1,1.1,0.81,3.26,218,95.5,06/05/2018,,,,,
PC_D_G_S_S_01,21/01/2017,22/01/2017,PC,D,G,S,S,1,1.93,1.64,3.94,252,110,06/05/2018,2.42,1.86,3.61,268,122
PC_D_R_S_S_01,23/01/2017,24/01/2017,PC,D,R,S,S,1,2.05,2,8.88,284,135,06/05/2018,4.63,4.14,9.84,376,178
