"Plot Title: 20046742"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 20046742, SEN S/N: 20046742)","Intensity, lum/ft² (LGR S/N: 20046742, SEN S/N: 20046742)","Coupler Detached (LGR S/N: 20046742)","Coupler Attached (LGR S/N: 20046742)","Host Connected (LGR S/N: 20046742)","Stopped (LGR S/N: 20046742)","End Of File (LGR S/N: 20046742)"
1,01/21/17 12:57:00 PM,82.508,0.0,,,,,
2,01/21/17 12:57:19 PM,,,Logged,,,,
3,01/21/17 01:07:00 PM,82.508,80.0,,,,,
4,01/21/17 01:17:00 PM,82.330,15.0,,,,,
5,01/21/17 01:27:00 PM,82.152,28.0,,,,,
6,01/21/17 01:37:00 PM,79.678,4.0,,,,,
7,01/21/17 01:47:00 PM,82.152,31.0,,,,,
8,01/21/17 01:57:00 PM,82.508,24.0,,,,,
9,01/21/17 02:07:00 PM,82.330,11.0,,,,,
10,01/21/17 02:17:00 PM,85.735,38.0,,,,,
11,01/21/17 02:27:00 PM,81.266,144.0,,,,,
12,01/21/17 02:37:00 PM,81.266,124.0,,,,,
13,01/21/17 02:47:00 PM,81.266,115.0,,,,,
14,01/21/17 02:57:00 PM,81.266,7.0,,,,,
15,01/21/17 03:07:00 PM,81.266,94.0,,,,,
16,01/21/17 03:17:00 PM,81.266,82.0,,,,,
17,01/21/17 03:27:00 PM,81.266,79.0,,,,,
18,01/21/17 03:37:00 PM,81.266,75.0,,,,,
19,01/21/17 03:47:00 PM,81.266,72.0,,,,,
20,01/21/17 03:57:00 PM,81.266,62.0,,,,,
21,01/21/17 04:07:00 PM,81.266,48.0,,,,,
22,01/21/17 04:17:00 PM,81.266,40.0,,,,,
23,01/21/17 04:27:00 PM,81.090,36.0,,,,,
24,01/21/17 04:37:00 PM,81.090,32.0,,,,,
25,01/21/17 04:47:00 PM,81.266,26.0,,,,,
26,01/21/17 04:57:00 PM,81.090,23.0,,,,,
27,01/21/17 05:07:00 PM,81.090,18.0,,,,,
28,01/21/17 05:17:00 PM,81.090,13.0,,,,,
29,01/21/17 05:27:00 PM,81.090,10.0,,,,,
30,01/21/17 05:37:00 PM,81.090,7.0,,,,,
31,01/21/17 05:47:00 PM,81.090,5.0,,,,,
32,01/21/17 05:57:00 PM,81.090,3.0,,,,,
33,01/21/17 06:07:00 PM,81.090,1.0,,,,,
34,01/21/17 06:17:00 PM,81.266,0.0,,,,,
35,01/21/17 06:27:00 PM,81.266,0.0,,,,,
36,01/21/17 06:37:00 PM,81.266,0.0,,,,,
37,01/21/17 06:47:00 PM,81.266,0.0,,,,,
38,01/21/17 06:57:00 PM,81.090,0.0,,,,,
39,01/21/17 07:07:00 PM,81.090,0.0,,,,,
40,01/21/17 07:17:00 PM,81.090,0.0,,,,,
41,01/21/17 07:27:00 PM,81.266,0.0,,,,,
42,01/21/17 07:37:00 PM,81.266,0.0,,,,,
43,01/21/17 07:47:00 PM,81.266,0.0,,,,,
44,01/21/17 07:57:00 PM,81.266,0.0,,,,,
45,01/21/17 08:07:00 PM,81.090,0.0,,,,,
46,01/21/17 08:17:00 PM,81.266,0.0,,,,,
47,01/21/17 08:27:00 PM,81.266,0.0,,,,,
48,01/21/17 08:37:00 PM,81.266,0.0,,,,,
49,01/21/17 08:47:00 PM,81.266,0.0,,,,,
50,01/21/17 08:57:00 PM,81.266,0.0,,,,,
51,01/21/17 09:07:00 PM,81.266,0.0,,,,,
52,01/21/17 09:17:00 PM,81.266,0.0,,,,,
53,01/21/17 09:27:00 PM,81.266,0.0,,,,,
54,01/21/17 09:37:00 PM,81.090,0.0,,,,,
55,01/21/17 09:47:00 PM,81.266,0.0,,,,,
56,01/21/17 09:57:00 PM,81.090,0.0,,,,,
57,01/21/17 10:07:00 PM,81.266,0.0,,,,,
58,01/21/17 10:17:00 PM,81.266,0.0,,,,,
59,01/21/17 10:27:00 PM,81.266,0.0,,,,,
60,01/21/17 10:37:00 PM,81.266,0.0,,,,,
61,01/21/17 10:47:00 PM,81.266,0.0,,,,,
62,01/21/17 10:57:00 PM,81.266,0.0,,,,,
63,01/21/17 11:07:00 PM,81.266,0.0,,,,,
64,01/21/17 11:17:00 PM,81.266,0.0,,,,,
65,01/21/17 11:27:00 PM,81.266,0.0,,,,,
66,01/21/17 11:37:00 PM,81.266,0.0,,,,,
67,01/21/17 11:47:00 PM,81.266,0.0,,,,,
68,01/21/17 11:57:00 PM,81.266,0.0,,,,,
69,01/22/17 12:07:00 AM,81.266,0.0,,,,,
70,01/22/17 12:17:00 AM,81.266,0.0,,,,,
71,01/22/17 12:27:00 AM,81.266,0.0,,,,,
72,01/22/17 12:37:00 AM,81.266,0.0,,,,,
73,01/22/17 12:47:00 AM,81.442,0.0,,,,,
74,01/22/17 12:57:00 AM,81.442,0.0,,,,,
75,01/22/17 01:07:00 AM,81.266,0.0,,,,,
76,01/22/17 01:17:00 AM,81.266,0.0,,,,,
77,01/22/17 01:27:00 AM,81.266,0.0,,,,,
78,01/22/17 01:37:00 AM,81.266,0.0,,,,,
79,01/22/17 01:47:00 AM,81.266,0.0,,,,,
80,01/22/17 01:57:00 AM,81.266,0.0,,,,,
81,01/22/17 02:07:00 AM,81.266,0.0,,,,,
82,01/22/17 02:17:00 AM,81.266,0.0,,,,,
83,01/22/17 02:27:00 AM,81.266,0.0,,,,,
84,01/22/17 02:37:00 AM,81.266,0.0,,,,,
85,01/22/17 02:47:00 AM,81.266,0.0,,,,,
86,01/22/17 02:57:00 AM,81.266,0.0,,,,,
87,01/22/17 03:07:00 AM,81.266,0.0,,,,,
88,01/22/17 03:17:00 AM,81.266,0.0,,,,,
89,01/22/17 03:27:00 AM,81.266,0.0,,,,,
90,01/22/17 03:37:00 AM,81.266,0.0,,,,,
91,01/22/17 03:47:00 AM,81.266,0.0,,,,,
92,01/22/17 03:57:00 AM,81.266,0.0,,,,,
93,01/22/17 04:07:00 AM,81.266,0.0,,,,,
94,01/22/17 04:17:00 AM,81.266,0.0,,,,,
95,01/22/17 04:27:00 AM,81.266,0.0,,,,,
96,01/22/17 04:37:00 AM,81.266,0.0,,,,,
97,01/22/17 04:47:00 AM,81.266,0.0,,,,,
98,01/22/17 04:57:00 AM,81.266,0.0,,,,,
99,01/22/17 05:07:00 AM,81.266,0.0,,,,,
100,01/22/17 05:17:00 AM,81.266,0.0,,,,,
101,01/22/17 05:27:00 AM,81.266,0.0,,,,,
102,01/22/17 05:37:00 AM,81.266,0.0,,,,,
103,01/22/17 05:47:00 AM,81.266,0.0,,,,,
104,01/22/17 05:57:00 AM,81.266,0.0,,,,,
