Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
36,01/26/17 12:14:11 AM,82.508,0,,
37,01/26/17 01:14:11 AM,83.043,0,,
38,01/26/17 02:14:11 AM,82.508,0,,
39,01/26/17 03:14:11 AM,82.508,0,,
40,01/26/17 04:14:11 AM,82.508,0,,
41,01/26/17 05:14:11 AM,82.508,0,,
42,01/26/17 06:14:11 AM,82.508,0,,
43,01/26/17 07:14:11 AM,82.686,0,,
44,01/26/17 08:14:11 AM,82.686,7,,
45,01/26/17 09:14:11 AM,82.686,14,,
46,01/26/17 10:14:11 AM,82.686,49,,
47,01/26/17 11:14:11 AM,82.686,37,,
48,01/26/17 12:14:11 PM,82.508,112,,
49,01/26/17 01:14:11 PM,82.508,76,,
50,01/26/17 02:14:11 PM,82.508,104,,
51,01/26/17 03:14:11 PM,82.508,49,,
52,01/26/17 04:14:11 PM,82.33,26,,
53,01/26/17 05:14:11 PM,82.508,23,,
54,01/26/17 06:14:11 PM,82.508,0,,
55,01/26/17 07:14:11 PM,82.508,0,,
56,01/26/17 08:14:11 PM,82.508,0,,
57,01/26/17 09:14:11 PM,82.508,0,,
58,01/26/17 10:14:11 PM,82.508,0,,
59,01/26/17 11:14:11 PM,82.508,0,,
60,01/27/17 12:14:11 AM,82.508,0,,
61,01/27/17 01:14:11 AM,82.508,0,,
62,01/27/17 02:14:11 AM,82.508,0,,
63,01/27/17 03:14:11 AM,82.508,0,,
64,01/27/17 04:14:11 AM,82.508,0,,
65,01/27/17 05:14:11 AM,82.508,0,,
66,01/27/17 06:14:11 AM,82.508,0,,
67,01/27/17 07:14:11 AM,82.686,14,,
68,01/27/17 08:14:11 AM,82.686,55,,
69,01/27/17 09:14:11 AM,82.686,184,,
70,01/27/17 10:14:11 AM,82.864,224,,
71,01/27/17 11:14:11 AM,82.864,464,,
72,01/27/17 12:14:11 PM,83.043,384,,
73,01/27/17 01:14:11 PM,82.864,336,,
74,01/27/17 02:14:11 PM,82.686,256,,
75,01/27/17 03:14:11 PM,83.043,152,,
76,01/27/17 04:14:11 PM,83.043,74,,
77,01/27/17 05:14:11 PM,83.221,32,,
78,01/27/17 06:14:11 PM,83.221,2,,
79,01/27/17 07:14:11 PM,83.043,0,,
80,01/27/17 08:14:11 PM,83.043,0,,
81,01/27/17 09:14:11 PM,83.221,0,,
82,01/27/17 10:14:11 PM,83.221,0,,
83,01/27/17 11:14:11 PM,82.686,0,,
84,01/28/17 12:14:11 AM,82.864,0,,
85,01/28/17 01:14:11 AM,82.33,0,,
86,01/28/17 02:14:11 AM,82.508,0,,
87,01/28/17 03:14:11 AM,82.864,0,,
88,01/28/17 04:14:11 AM,82.33,0,,
89,01/28/17 05:14:11 AM,82.33,0,,
90,01/28/17 06:14:11 AM,82.508,0,,
91,01/28/17 07:14:11 AM,82.508,8,,
92,01/28/17 08:14:11 AM,82.508,59,,
93,01/28/17 09:14:11 AM,82.508,76,,
94,01/28/17 10:14:11 AM,82.508,98,,
95,01/28/17 11:14:11 AM,82.508,152,,
96,01/28/17 12:14:11 PM,82.686,110,,
97,01/28/17 01:14:11 PM,82.686,240,,
98,01/28/17 02:14:11 PM,82.864,120,,
99,01/28/17 03:14:11 PM,82.864,248,,
100,01/28/17 04:14:11 PM,82.864,72,,
101,01/28/17 05:14:11 PM,82.864,40,,
102,01/28/17 06:14:11 PM,82.864,1,,
103,01/28/17 07:14:11 PM,82.864,0,,
104,01/28/17 08:14:11 PM,82.864,0,,
105,01/28/17 09:14:11 PM,82.864,0,,
106,01/28/17 10:14:11 PM,82.864,0,,
107,01/28/17 11:14:11 PM,82.686,0,,
108,01/29/17 12:14:11 AM,82.508,0,,
109,01/29/17 01:14:11 AM,82.508,0,,
110,01/29/17 02:14:11 AM,82.686,0,,
111,01/29/17 03:14:11 AM,82.864,0,,
112,01/29/17 04:14:11 AM,82.864,0,,
113,01/29/17 05:14:11 AM,83.043,0,,
114,01/29/17 06:14:11 AM,82.864,0,,
115,01/29/17 07:14:11 AM,82.508,33,,
116,01/29/17 08:14:11 AM,82.686,72,,
117,01/29/17 09:14:11 AM,82.686,136,,
118,01/29/17 10:14:11 AM,82.864,272,,
119,01/29/17 11:14:11 AM,83.043,384,,
120,01/29/17 12:14:11 PM,82.864,80,,
121,01/29/17 01:14:11 PM,83.221,464,,
122,01/29/17 02:14:11 PM,83.221,368,,
123,01/29/17 03:14:11 PM,83.399,272,,
124,01/29/17 04:14:11 PM,83.221,128,,
125,01/29/17 05:14:11 PM,83.221,42,,
126,01/29/17 06:14:11 PM,83.043,3,,
127,01/29/17 07:14:11 PM,83.221,0,,
128,01/29/17 08:14:11 PM,83.221,0,,
129,01/29/17 09:14:11 PM,83.221,0,,
130,01/29/17 10:14:11 PM,83.221,0,,
131,01/29/17 11:14:11 PM,83.043,0,,
132,01/30/17 12:14:11 AM,83.221,0,,
133,01/30/17 01:14:11 AM,83.043,0,,
134,01/30/17 02:14:11 AM,83.043,0,,
135,01/30/17 03:14:11 AM,83.043,0,,
136,01/30/17 04:14:11 AM,82.864,0,,
137,01/30/17 05:14:11 AM,82.864,0,,
138,01/30/17 06:14:11 AM,82.864,0,,
139,01/30/17 07:14:11 AM,82.864,27,,
140,01/30/17 08:14:11 AM,82.864,184,,
141,01/30/17 09:14:11 AM,83.043,288,,
142,01/30/17 10:14:11 AM,83.043,192,,
143,01/30/17 11:14:11 AM,83.221,200,,
144,01/30/17 12:14:11 PM,83.221,176,,
145,01/30/17 01:14:11 PM,83.043,256,,
146,01/30/17 02:14:11 PM,83.043,248,,
147,01/30/17 03:14:11 PM,82.864,208,,
148,01/30/17 04:14:11 PM,83.221,224,,
149,01/30/17 05:14:11 PM,83.221,65,,
150,01/30/17 06:14:11 PM,83.221,3,,
151,01/30/17 07:14:11 PM,83.221,0,,
152,01/30/17 08:14:11 PM,83.043,0,,
153,01/30/17 09:14:11 PM,83.221,0,,
154,01/30/17 10:14:11 PM,83.043,0,,
155,01/30/17 11:14:11 PM,83.043,0,,
156,01/31/17 12:14:11 AM,83.043,0,,
