Plot Title: 20046742,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046742, SEN S/N: 20046742)","Intensity, lum/ftý (LGR S/N: 20046742, SEN S/N: 20046742)",Coupler Detached (LGR S/N: 20046742),Coupler Attached (LGR S/N: 20046742),Host Connected (LGR S/N: 20046742),Stopped (LGR S/N: 20046742),End Of File (LGR S/N: 20046742)
645,01/26/17 12:07:00 AM,82.33,0,,,,,
646,01/26/17 12:17:00 AM,82.33,0,,,,,
647,01/26/17 12:27:00 AM,82.33,0,,,,,
648,01/26/17 12:37:00 AM,82.508,0,,,,,
649,01/26/17 12:47:00 AM,82.508,0,,,,,
650,01/26/17 12:57:00 AM,82.686,0,,,,,
651,01/26/17 01:07:00 AM,82.864,0,,,,,
652,01/26/17 01:17:00 AM,82.508,0,,,,,
653,01/26/17 01:27:00 AM,82.686,0,,,,,
654,01/26/17 01:37:00 AM,82.33,0,,,,,
655,01/26/17 01:47:00 AM,82.33,0,,,,,
656,01/26/17 01:57:00 AM,82.33,0,,,,,
657,01/26/17 02:07:00 AM,82.508,0,,,,,
658,01/26/17 02:17:00 AM,82.508,0,,,,,
659,01/26/17 02:27:00 AM,82.508,0,,,,,
660,01/26/17 02:37:00 AM,82.508,0,,,,,
661,01/26/17 02:47:00 AM,82.508,0,,,,,
662,01/26/17 02:57:00 AM,82.508,0,,,,,
663,01/26/17 03:07:00 AM,82.508,0,,,,,
664,01/26/17 03:17:00 AM,82.508,0,,,,,
665,01/26/17 03:27:00 AM,82.508,0,,,,,
666,01/26/17 03:37:00 AM,82.508,0,,,,,
667,01/26/17 03:47:00 AM,82.508,0,,,,,
668,01/26/17 03:57:00 AM,82.508,0,,,,,
669,01/26/17 04:07:00 AM,82.508,0,,,,,
670,01/26/17 04:17:00 AM,82.508,0,,,,,
671,01/26/17 04:27:00 AM,82.508,0,,,,,
672,01/26/17 04:37:00 AM,82.508,0,,,,,
673,01/26/17 04:47:00 AM,82.508,0,,,,,
674,01/26/17 04:57:00 AM,82.508,0,,,,,
675,01/26/17 05:07:00 AM,82.508,0,,,,,
676,01/26/17 05:17:00 AM,82.508,0,,,,,
677,01/26/17 05:27:00 AM,82.508,0,,,,,
678,01/26/17 05:37:00 AM,82.508,0,,,,,
679,01/26/17 05:47:00 AM,82.508,0,,,,,
680,01/26/17 05:57:00 AM,82.508,0,,,,,
681,01/26/17 06:07:00 AM,82.508,0,,,,,
682,01/26/17 06:17:00 AM,82.508,0,,,,,
683,01/26/17 06:27:00 AM,82.508,0,,,,,
684,01/26/17 06:37:00 AM,82.508,0,,,,,
685,01/26/17 06:47:00 AM,82.508,1,,,,,
686,01/26/17 06:57:00 AM,82.508,2,,,,,
687,01/26/17 07:07:00 AM,82.508,1,,,,,
688,01/26/17 07:17:00 AM,82.508,1,,,,,
689,01/26/17 07:27:00 AM,82.508,2,,,,,
690,01/26/17 07:37:00 AM,82.508,3,,,,,
691,01/26/17 07:47:00 AM,82.508,4,,,,,
692,01/26/17 07:57:00 AM,82.508,2,,,,,
693,01/26/17 08:07:00 AM,82.508,4,,,,,
694,01/26/17 08:17:00 AM,82.508,5,,,,,
695,01/26/17 08:27:00 AM,82.508,5,,,,,
696,01/26/17 08:37:00 AM,82.508,7,,,,,
697,01/26/17 08:47:00 AM,82.508,8,,,,,
698,01/26/17 08:57:00 AM,82.508,9,,,,,
699,01/26/17 09:07:00 AM,82.508,10,,,,,
700,01/26/17 09:17:00 AM,82.508,11,,,,,
701,01/26/17 09:27:00 AM,82.508,13,,,,,
702,01/26/17 09:37:00 AM,82.508,15,,,,,
703,01/26/17 09:47:00 AM,82.508,21,,,,,
704,01/26/17 09:57:00 AM,82.508,27,,,,,
705,01/26/17 10:07:00 AM,82.686,33,,,,,
706,01/26/17 10:17:00 AM,82.508,36,,,,,
707,01/26/17 10:27:00 AM,82.508,40,,,,,
708,01/26/17 10:37:00 AM,82.508,43,,,,,
709,01/26/17 10:47:00 AM,82.508,45,,,,,
710,01/26/17 10:57:00 AM,82.508,47,,,,,
711,01/26/17 11:07:00 AM,82.508,52,,,,,
712,01/26/17 11:17:00 AM,82.508,12,,,,,
713,01/26/17 11:27:00 AM,82.508,29,,,,,
714,01/26/17 11:37:00 AM,82.686,48,,,,,
715,01/26/17 11:47:00 AM,82.864,62,,,,,
716,01/26/17 11:57:00 AM,82.686,74,,,,,
717,01/26/17 12:07:00 PM,82.686,84,,,,,
718,01/26/17 12:17:00 PM,82.508,85,,,,,
719,01/26/17 12:27:00 PM,82.508,84,,,,,
720,01/26/17 12:37:00 PM,82.508,83,,,,,
721,01/26/17 12:47:00 PM,82.508,69,,,,,
722,01/26/17 12:57:00 PM,82.508,62,,,,,
723,01/26/17 01:07:00 PM,82.508,57,,,,,
724,01/26/17 01:17:00 PM,82.508,59,,,,,
725,01/26/17 01:27:00 PM,82.33,60,,,,,
726,01/26/17 01:37:00 PM,82.33,73,,,,,
727,01/26/17 01:47:00 PM,82.33,67,,,,,
728,01/26/17 01:57:00 PM,82.33,73,,,,,
729,01/26/17 02:07:00 PM,82.508,86,,,,,
730,01/26/17 02:17:00 PM,82.33,77,,,,,
731,01/26/17 02:27:00 PM,82.508,69,,,,,
732,01/26/17 02:37:00 PM,82.508,65,,,,,
733,01/26/17 02:47:00 PM,82.508,60,,,,,
734,01/26/17 02:57:00 PM,82.33,47,,,,,
735,01/26/17 03:07:00 PM,82.33,46,,,,,
736,01/26/17 03:17:00 PM,82.508,42,,,,,
737,01/26/17 03:27:00 PM,82.508,36,,,,,
738,01/26/17 03:37:00 PM,82.33,33,,,,,
739,01/26/17 03:47:00 PM,82.33,33,,,,,
740,01/26/17 03:57:00 PM,82.33,28,,,,,
741,01/26/17 04:07:00 PM,82.33,24,,,,,
742,01/26/17 04:17:00 PM,82.33,21,,,,,
743,01/26/17 04:27:00 PM,82.33,21,,,,,
744,01/26/17 04:37:00 PM,82.33,20,,,,,
745,01/26/17 04:47:00 PM,82.508,20,,,,,
746,01/26/17 04:57:00 PM,82.508,18,,,,,
747,01/26/17 05:07:00 PM,82.508,14,,,,,
748,01/26/17 05:17:00 PM,82.508,9,,,,,
749,01/26/17 05:27:00 PM,82.508,4,,,,,
750,01/26/17 05:37:00 PM,82.508,3,,,,,
751,01/26/17 05:47:00 PM,82.508,2,,,,,
752,01/26/17 05:57:00 PM,82.508,1,,,,,
753,01/26/17 06:07:00 PM,82.508,0,,,,,
754,01/26/17 06:17:00 PM,82.508,0,,,,,
755,01/26/17 06:27:00 PM,82.508,0,,,,,
756,01/26/17 06:37:00 PM,82.508,0,,,,,
757,01/26/17 06:47:00 PM,82.508,0,,,,,
758,01/26/17 06:57:00 PM,82.508,0,,,,,
759,01/26/17 07:07:00 PM,82.508,0,,,,,
760,01/26/17 07:17:00 PM,82.508,0,,,,,
761,01/26/17 07:27:00 PM,82.508,0,,,,,
762,01/26/17 07:37:00 PM,82.508,0,,,,,
763,01/26/17 07:47:00 PM,82.508,0,,,,,
764,01/26/17 07:57:00 PM,82.508,0,,,,,
765,01/26/17 08:07:00 PM,82.508,0,,,,,
766,01/26/17 08:17:00 PM,82.508,0,,,,,
767,01/26/17 08:27:00 PM,82.508,0,,,,,
768,01/26/17 08:37:00 PM,82.508,0,,,,,
769,01/26/17 08:47:00 PM,82.508,0,,,,,
770,01/26/17 08:57:00 PM,82.508,0,,,,,
771,01/26/17 09:07:00 PM,82.508,0,,,,,
772,01/26/17 09:17:00 PM,82.508,0,,,,,
773,01/26/17 09:27:00 PM,82.508,0,,,,,
774,01/26/17 09:37:00 PM,82.508,0,,,,,
775,01/26/17 09:47:00 PM,82.508,0,,,,,
776,01/26/17 09:57:00 PM,82.508,0,,,,,
777,01/26/17 10:07:00 PM,82.508,0,,,,,
778,01/26/17 10:17:00 PM,82.508,0,,,,,
779,01/26/17 10:27:00 PM,82.508,0,,,,,
780,01/26/17 10:37:00 PM,82.508,0,,,,,
781,01/26/17 10:47:00 PM,82.508,0,,,,,
782,01/26/17 10:57:00 PM,82.508,0,,,,,
783,01/26/17 11:07:00 PM,82.508,0,,,,,
784,01/26/17 11:17:00 PM,82.508,0,,,,,
785,01/26/17 11:27:00 PM,82.508,0,,,,,
786,01/26/17 11:37:00 PM,82.508,0,,,,,
787,01/26/17 11:47:00 PM,82.508,0,,,,,
788,01/26/17 11:57:00 PM,82.508,0,,,,,
789,01/27/17 12:07:00 AM,82.508,0,,,,,
790,01/27/17 12:17:00 AM,82.508,0,,,,,
791,01/27/17 12:27:00 AM,82.508,0,,,,,
792,01/27/17 12:37:00 AM,82.508,0,,,,,
793,01/27/17 12:47:00 AM,82.508,0,,,,,
794,01/27/17 12:57:00 AM,82.508,0,,,,,
795,01/27/17 01:07:00 AM,82.508,0,,,,,
796,01/27/17 01:17:00 AM,82.508,0,,,,,
797,01/27/17 01:27:00 AM,82.508,0,,,,,
798,01/27/17 01:37:00 AM,82.508,0,,,,,
799,01/27/17 01:47:00 AM,82.508,0,,,,,
800,01/27/17 01:57:00 AM,82.508,0,,,,,
801,01/27/17 02:07:00 AM,82.508,0,,,,,
802,01/27/17 02:17:00 AM,82.508,0,,,,,
