Plot Title: 20255072,,,
#,"Date Time, GMT+00:00","Temp, øC (LGR S/N: 20255072, SEN S/N: 20255072)","Intensity, Lux (LGR S/N: 20255072, SEN S/N: 20255072)"
835,03/10/2018 00:00,28.953,0
836,03/10/2018 00:10,28.953,0
837,03/10/2018 00:20,28.953,0
838,03/10/2018 00:30,28.853,0
839,03/10/2018 00:40,28.853,0
840,03/10/2018 00:50,28.853,0
841,03/10/2018 01:00,28.853,0
842,03/10/2018 01:10,28.754,0
843,03/10/2018 01:20,28.754,10.8
844,03/10/2018 01:30,28.754,43.1
845,03/10/2018 01:40,28.754,107.6
846,03/10/2018 01:50,28.754,161.5
847,03/10/2018 02:00,28.754,204.5
848,03/10/2018 02:10,28.754,301.4
849,03/10/2018 02:20,28.754,484.4
850,03/10/2018 02:30,28.754,613.5
851,03/10/2018 02:40,28.754,742.7
852,03/10/2018 02:50,28.754,914.9
853,03/10/2018 03:00,28.754,1119.5
854,03/10/2018 03:10,28.754,785.8
855,03/10/2018 03:20,28.754,1237.9
856,03/10/2018 03:30,28.754,1377.8
857,03/10/2018 03:40,28.754,1636.1
858,03/10/2018 03:50,28.853,1808.3
859,03/10/2018 04:00,28.853,1980.6
860,03/10/2018 04:10,28.853,2238.9
861,03/10/2018 04:20,28.953,2325
862,03/10/2018 04:30,28.953,2066.7
863,03/10/2018 04:40,28.953,2411.1
864,03/10/2018 04:50,28.953,2411.1
865,03/10/2018 05:00,28.953,3100
866,03/10/2018 05:10,29.053,3444.5
867,03/10/2018 05:20,29.152,3272.2
868,03/10/2018 05:30,29.152,3616.7
869,03/10/2018 05:40,29.053,4305.6
870,03/10/2018 05:50,29.053,3961.1
871,03/10/2018 06:00,29.053,4133.4
872,03/10/2018 06:10,29.053,4650
873,03/10/2018 06:20,29.053,4822.3
874,03/10/2018 06:30,29.152,4822.3
875,03/10/2018 06:40,29.152,4994.5
876,03/10/2018 06:50,29.152,4994.5
877,03/10/2018 07:00,29.152,5166.7
878,03/10/2018 07:10,29.152,5166.7
879,03/10/2018 07:20,29.252,5338.9
880,03/10/2018 07:30,29.252,4305.6
881,03/10/2018 07:40,29.053,1636.1
882,03/10/2018 07:50,29.053,3444.5
883,03/10/2018 08:00,29.252,4305.6
884,03/10/2018 08:10,29.152,4650
885,03/10/2018 08:20,29.152,4477.8
886,03/10/2018 08:30,29.152,3961.1
887,03/10/2018 08:40,29.152,3961.1
888,03/10/2018 08:50,29.053,3788.9
889,03/10/2018 09:00,29.053,3788.9
890,03/10/2018 09:10,29.053,3616.7
891,03/10/2018 09:20,29.053,1356.3
892,03/10/2018 09:30,29.053,2927.8
893,03/10/2018 09:40,29.053,2927.8
894,03/10/2018 09:50,29.053,1894.5
895,03/10/2018 10:00,29.053,2497.2
896,03/10/2018 10:10,29.152,2325
897,03/10/2018 10:20,29.053,2238.9
898,03/10/2018 10:30,29.053,2238.9
899,03/10/2018 10:40,29.053,1550
900,03/10/2018 10:50,29.053,1345.5
901,03/10/2018 11:00,29.053,1022.6
902,03/10/2018 11:10,29.053,699.7
903,03/10/2018 11:20,29.053,925.7
904,03/10/2018 11:30,29.053,893.4
905,03/10/2018 11:40,29.053,667.4
906,03/10/2018 11:50,29.053,581.3
907,03/10/2018 12:00,28.953,549
908,03/10/2018 12:10,28.953,495.1
909,03/10/2018 12:20,28.953,344.4
910,03/10/2018 12:30,29.053,247.6
911,03/10/2018 12:40,29.053,172.2
912,03/10/2018 12:50,28.853,139.9
