Plot Title: 20051878,,,
#,"Date Time, GMT+05:00","Temp, øC (LGR S/N: 20051878, SEN S/N: 20051878)","Intensity, Lux (LGR S/N: 20051878, SEN S/N: 20051878)"
553,04/07/2017 00:00,29.252,0
554,04/07/2017 00:15,29.252,0
555,04/07/2017 00:30,29.252,0
556,04/07/2017 00:45,29.252,0
557,04/07/2017 01:00,29.252,0
558,04/07/2017 01:15,29.252,0
559,04/07/2017 01:30,29.252,0
560,04/07/2017 01:45,29.252,0
561,04/07/2017 02:00,29.252,0
562,04/07/2017 02:15,29.252,0
563,04/07/2017 02:30,29.352,0
564,04/07/2017 02:45,29.352,0
565,04/07/2017 03:00,29.352,0
566,04/07/2017 03:15,29.252,0
567,04/07/2017 03:30,29.352,0
568,04/07/2017 03:45,29.352,0
569,04/07/2017 04:00,29.352,0
570,04/07/2017 04:15,29.352,0
571,04/07/2017 04:30,29.352,0
572,04/07/2017 04:45,29.352,0
573,04/07/2017 05:00,29.352,0
574,04/07/2017 05:15,29.252,0
575,04/07/2017 05:30,29.352,0
576,04/07/2017 05:45,29.252,0
577,04/07/2017 06:00,29.252,0
578,04/07/2017 06:15,29.252,32.3
579,04/07/2017 06:30,29.252,107.6
580,04/07/2017 06:45,29.252,183
581,04/07/2017 07:00,29.252,301.4
582,04/07/2017 07:15,29.252,527.4
583,04/07/2017 07:30,29.252,290.6
584,04/07/2017 07:45,29.252,710.4
585,04/07/2017 08:00,29.352,807.3
586,04/07/2017 08:15,29.352,1054.9
587,04/07/2017 08:30,29.352,1216.3
588,04/07/2017 08:45,29.352,1377.8
589,04/07/2017 09:00,29.452,1550
590,04/07/2017 09:15,29.352,1722.2
591,04/07/2017 09:30,29.452,1894.5
592,04/07/2017 09:45,29.452,2325
593,04/07/2017 10:00,29.452,2583.4
594,04/07/2017 10:15,29.552,3100
595,04/07/2017 10:30,29.552,3272.2
596,04/07/2017 10:45,29.552,4650
597,04/07/2017 11:00,29.652,4305.6
598,04/07/2017 11:15,29.652,4305.6
599,04/07/2017 11:30,29.652,5166.7
600,04/07/2017 11:45,29.652,5166.7
601,04/07/2017 12:00,29.552,5166.7
602,04/07/2017 12:15,29.652,5511.1
603,04/07/2017 12:30,29.652,5166.7
604,04/07/2017 12:45,29.652,4822.3
605,04/07/2017 13:00,29.652,4477.8
606,04/07/2017 13:15,29.552,3616.7
607,04/07/2017 13:30,29.552,3100
608,04/07/2017 13:45,29.552,2927.8
609,04/07/2017 14:00,29.552,2755.6
610,04/07/2017 14:15,29.552,2411.1
611,04/07/2017 14:30,29.552,2238.9
612,04/07/2017 14:45,29.552,2152.8
613,04/07/2017 15:00,29.552,2755.6
614,04/07/2017 15:15,29.552,2152.8
615,04/07/2017 15:30,29.452,1808.3
616,04/07/2017 15:45,29.452,1463.9
617,04/07/2017 16:00,29.452,1248.6
618,04/07/2017 16:15,29.452,1001
619,04/07/2017 16:30,29.452,828.8
620,04/07/2017 16:45,29.452,635.1
621,04/07/2017 17:00,29.452,387.5
622,04/07/2017 17:15,29.452,312.2
623,04/07/2017 17:30,29.452,183
624,04/07/2017 17:45,29.452,107.6
625,04/07/2017 18:00,29.452,43.1
626,04/07/2017 18:15,29.452,0
627,04/07/2017 18:30,29.452,0
628,04/07/2017 18:45,29.352,0
629,04/07/2017 19:00,29.452,0
630,04/07/2017 19:15,29.452,0
631,04/07/2017 19:30,29.452,0
632,04/07/2017 19:45,29.452,0
633,04/07/2017 20:00,29.452,0
634,04/07/2017 20:15,29.452,0
635,04/07/2017 20:30,29.452,0
636,04/07/2017 20:45,29.452,0
637,04/07/2017 21:00,29.452,0
638,04/07/2017 21:15,29.452,0
639,04/07/2017 21:30,29.452,0
640,04/07/2017 21:45,29.452,0
641,04/07/2017 22:00,29.452,0
642,04/07/2017 22:15,29.452,0
643,04/07/2017 22:30,29.452,0
644,04/07/2017 22:45,29.452,0
645,04/07/2017 23:00,29.452,0
646,04/07/2017 23:15,29.452,0
647,04/07/2017 23:30,29.452,0
648,04/07/2017 23:45,29.452,0
649,04/08/2017 00:00,29.452,0
650,04/08/2017 00:15,29.452,0
651,04/08/2017 00:30,29.452,0
652,04/08/2017 00:45,29.452,0
653,04/08/2017 01:00,29.452,0
654,04/08/2017 01:15,29.452,0
655,04/08/2017 01:30,29.452,0
656,04/08/2017 01:45,29.452,0
657,04/08/2017 02:00,29.452,0
658,04/08/2017 02:15,29.452,0
659,04/08/2017 02:30,29.452,0
660,04/08/2017 02:45,29.452,0
661,04/08/2017 03:00,29.452,0
662,04/08/2017 03:15,29.452,0
663,04/08/2017 03:30,29.452,0
664,04/08/2017 03:45,29.452,0
665,04/08/2017 04:00,29.452,0
666,04/08/2017 04:15,29.452,0
667,04/08/2017 04:30,29.352,0
668,04/08/2017 04:45,29.452,0
669,04/08/2017 05:00,29.452,0
670,04/08/2017 05:15,29.452,0
671,04/08/2017 05:30,29.452,0
672,04/08/2017 05:45,29.452,0
673,04/08/2017 06:00,29.452,0
674,04/08/2017 06:15,29.552,21.5
675,04/08/2017 06:30,29.552,75.3
676,04/08/2017 06:45,29.552,150.7
677,04/08/2017 07:00,29.552,269.1
678,04/08/2017 07:15,29.652,387.5
679,04/08/2017 07:30,29.652,484.4
680,04/08/2017 07:45,29.652,592
681,04/08/2017 08:00,29.652,710.4
682,04/08/2017 08:15,29.652,871.9
683,04/08/2017 08:30,29.652,893.4
