Plot Title: 20046743,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046743, SEN S/N: 20046743)","Intensity, lum/ftý (LGR S/N: 20046743, SEN S/N: 20046743)",Coupler Detached (LGR S/N: 20046743),Coupler Attached (LGR S/N: 20046743),Host Connected (LGR S/N: 20046743),Stopped (LGR S/N: 20046743),End Of File (LGR S/N: 20046743)
644,01/26/17 12:03:45 AM,83.579,0,,,,,
645,01/26/17 12:13:45 AM,83.399,0,,,,,
646,01/26/17 12:23:45 AM,83.399,0,,,,,
647,01/26/17 12:33:45 AM,83.579,0,,,,,
648,01/26/17 12:43:45 AM,83.399,0,,,,,
649,01/26/17 12:53:45 AM,83.399,0,,,,,
650,01/26/17 01:03:45 AM,83.579,0,,,,,
651,01/26/17 01:13:45 AM,83.579,0,,,,,
652,01/26/17 01:23:45 AM,83.399,0,,,,,
653,01/26/17 01:33:45 AM,83.221,0,,,,,
654,01/26/17 01:43:45 AM,83.221,0,,,,,
655,01/26/17 01:53:45 AM,83.221,0,,,,,
656,01/26/17 02:03:45 AM,83.221,0,,,,,
657,01/26/17 02:13:45 AM,83.221,0,,,,,
658,01/26/17 02:23:45 AM,83.399,0,,,,,
659,01/26/17 02:33:45 AM,83.221,0,,,,,
660,01/26/17 02:43:45 AM,83.399,0,,,,,
661,01/26/17 02:53:45 AM,83.399,0,,,,,
662,01/26/17 03:03:45 AM,83.043,0,,,,,
663,01/26/17 03:13:45 AM,83.043,0,,,,,
664,01/26/17 03:23:45 AM,83.221,0,,,,,
665,01/26/17 03:33:45 AM,83.399,0,,,,,
666,01/26/17 03:43:45 AM,83.221,0,,,,,
667,01/26/17 03:53:45 AM,83.221,0,,,,,
668,01/26/17 04:03:45 AM,83.399,0,,,,,
669,01/26/17 04:13:45 AM,83.221,0,,,,,
670,01/26/17 04:23:45 AM,83.399,0,,,,,
671,01/26/17 04:33:45 AM,83.399,0,,,,,
672,01/26/17 04:43:45 AM,83.221,0,,,,,
673,01/26/17 04:53:45 AM,83.221,0,,,,,
674,01/26/17 05:03:45 AM,83.221,0,,,,,
675,01/26/17 05:13:45 AM,83.221,0,,,,,
676,01/26/17 05:23:45 AM,83.221,0,,,,,
677,01/26/17 05:33:45 AM,83.221,0,,,,,
678,01/26/17 05:43:45 AM,83.221,0,,,,,
679,01/26/17 05:53:45 AM,83.221,0,,,,,
680,01/26/17 06:03:45 AM,83.221,0,,,,,
681,01/26/17 06:13:45 AM,83.221,0,,,,,
682,01/26/17 06:23:45 AM,83.221,2,,,,,
683,01/26/17 06:33:45 AM,83.221,2,,,,,
684,01/26/17 06:43:45 AM,83.221,10,,,,,
685,01/26/17 06:53:45 AM,83.221,17,,,,,
686,01/26/17 07:03:45 AM,83.221,12,,,,,
687,01/26/17 07:13:45 AM,83.221,8,,,,,
688,01/26/17 07:23:45 AM,83.221,19,,,,,
689,01/26/17 07:33:45 AM,83.221,32,,,,,
690,01/26/17 07:43:45 AM,83.221,32,,,,,
691,01/26/17 07:53:45 AM,83.221,32,,,,,
692,01/26/17 08:03:45 AM,83.043,28,,,,,
693,01/26/17 08:13:45 AM,83.043,42,,,,,
694,01/26/17 08:23:45 AM,83.043,35,,,,,
695,01/26/17 08:33:45 AM,83.043,56,,,,,
696,01/26/17 08:43:45 AM,83.043,61,,,,,
697,01/26/17 08:53:45 AM,83.043,72,,,,,
698,01/26/17 09:03:45 AM,83.043,82,,,,,
699,01/26/17 09:13:45 AM,83.043,86,,,,,
700,01/26/17 09:23:45 AM,83.043,102,,,,,
701,01/26/17 09:33:45 AM,83.043,126,,,,,
702,01/26/17 09:43:45 AM,83.221,152,,,,,
703,01/26/17 09:53:45 AM,83.221,200,,,,,
704,01/26/17 10:03:45 AM,83.221,232,,,,,
705,01/26/17 10:13:45 AM,83.221,256,,,,,
706,01/26/17 10:23:45 AM,83.221,288,,,,,
707,01/26/17 10:33:45 AM,83.221,320,,,,,
708,01/26/17 10:43:45 AM,83.221,304,,,,,
709,01/26/17 10:53:45 AM,83.221,304,,,,,
710,01/26/17 11:03:45 AM,83.221,368,,,,,
711,01/26/17 11:13:45 AM,83.221,216,,,,,
712,01/26/17 11:23:45 AM,83.221,184,,,,,
713,01/26/17 11:33:45 AM,83.221,272,,,,,
714,01/26/17 11:43:45 AM,83.221,352,,,,,
715,01/26/17 11:53:45 AM,83.221,368,,,,,
716,01/26/17 12:03:45 PM,83.399,432,,,,,
717,01/26/17 12:13:45 PM,83.221,416,,,,,
718,01/26/17 12:23:45 PM,83.221,416,,,,,
719,01/26/17 12:33:45 PM,83.043,400,,,,,
720,01/26/17 12:43:45 PM,83.221,368,,,,,
721,01/26/17 12:53:45 PM,83.221,320,,,,,
722,01/26/17 01:03:45 PM,83.221,288,,,,,
723,01/26/17 01:13:45 PM,83.221,304,,,,,
724,01/26/17 01:23:45 PM,83.221,320,,,,,
725,01/26/17 01:33:45 PM,83.043,352,,,,,
726,01/26/17 01:43:45 PM,83.043,384,,,,,
727,01/26/17 01:53:45 PM,83.043,448,,,,,
728,01/26/17 02:03:45 PM,83.043,384,,,,,
729,01/26/17 02:13:45 PM,83.043,416,,,,,
730,01/26/17 02:23:45 PM,83.043,352,,,,,
731,01/26/17 02:33:45 PM,83.221,336,,,,,
732,01/26/17 02:43:45 PM,83.221,304,,,,,
733,01/26/17 02:53:45 PM,83.399,288,,,,,
734,01/26/17 03:03:45 PM,83.221,256,,,,,
735,01/26/17 03:13:45 PM,83.221,240,,,,,
736,01/26/17 03:23:45 PM,83.043,368,,,,,
737,01/26/17 03:33:45 PM,83.221,248,,,,,
738,01/26/17 03:43:45 PM,83.221,288,,,,,
739,01/26/17 03:53:45 PM,83.221,272,,,,,
740,01/26/17 04:03:45 PM,83.399,224,,,,,
741,01/26/17 04:13:45 PM,83.221,184,,,,,
