Plot Title: 20277815,,,
#,"Date Time, GMT+00:00","Temp, øC (LGR S/N: 20277815, SEN S/N: 20277815)","Intensity, Lux (LGR S/N: 20277815, SEN S/N: 20277815)"
835,03/10/2018 00:00,29.252,0
836,03/10/2018 00:10,29.252,0
837,03/10/2018 00:20,29.252,0
838,03/10/2018 00:30,29.152,0
839,03/10/2018 00:40,29.053,0
840,03/10/2018 00:50,29.053,0
841,03/10/2018 01:00,29.252,0
842,03/10/2018 01:10,29.352,0
843,03/10/2018 01:20,29.152,53.8
844,03/10/2018 01:30,28.853,161.5
845,03/10/2018 01:40,29.053,344.4
846,03/10/2018 01:50,29.152,570.5
847,03/10/2018 02:00,29.152,613.5
848,03/10/2018 02:10,29.252,958
849,03/10/2018 02:20,29.352,1463.9
850,03/10/2018 02:30,29.452,1894.5
851,03/10/2018 02:40,29.552,2411.1
852,03/10/2018 02:50,29.252,2927.8
853,03/10/2018 03:00,29.452,3616.7
854,03/10/2018 03:10,29.352,2583.4
855,03/10/2018 03:20,29.552,3616.7
856,03/10/2018 03:30,29.652,4994.5
857,03/10/2018 03:40,29.552,4650
858,03/10/2018 03:50,29.752,5166.7
859,03/10/2018 04:00,29.652,5166.7
860,03/10/2018 04:10,29.652,5511.1
861,03/10/2018 04:20,29.752,5511.1
862,03/10/2018 04:30,29.752,5166.7
863,03/10/2018 04:40,29.652,8266.7
864,03/10/2018 04:50,29.853,7577.8
865,03/10/2018 05:00,29.953,9644.5
866,03/10/2018 05:10,30.255,11711.2
867,03/10/2018 05:20,30.255,11022.3
868,03/10/2018 05:30,30.255,12400.1
869,03/10/2018 05:40,30.457,12400.1
870,03/10/2018 05:50,30.255,14466.8
871,03/10/2018 06:00,30.054,13777.9
872,03/10/2018 06:10,30.154,12400.1
873,03/10/2018 06:20,30.255,17222.3
874,03/10/2018 06:30,30.255,18600.1
875,03/10/2018 06:40,30.255,18600.1
876,03/10/2018 06:50,30.457,19289
877,03/10/2018 07:00,30.558,20666.8
878,03/10/2018 07:10,30.356,20666.8
879,03/10/2018 07:20,30.255,10677.8
880,03/10/2018 07:30,30.356,15844.5
881,03/10/2018 07:40,30.054,6544.5
882,03/10/2018 07:50,30.054,12400.1
883,03/10/2018 08:00,30.255,13777.9
884,03/10/2018 08:10,30.356,18600.1
885,03/10/2018 08:20,30.558,16533.4
886,03/10/2018 08:30,30.659,16533.4
887,03/10/2018 08:40,30.558,16533.4
888,03/10/2018 08:50,30.76,13089
889,03/10/2018 09:00,30.76,12400.1
890,03/10/2018 09:10,30.76,11711.2
891,03/10/2018 09:20,30.356,7233.4
892,03/10/2018 09:30,30.659,12400.1
893,03/10/2018 09:40,30.558,11022.3
894,03/10/2018 09:50,30.255,10333.4
895,03/10/2018 10:00,30.862,11022.3
896,03/10/2018 10:10,30.76,10333.4
897,03/10/2018 10:20,30.659,9644.5
898,03/10/2018 10:30,30.76,9644.5
899,03/10/2018 10:40,29.953,6200
900,03/10/2018 10:50,30.054,5166.7
901,03/10/2018 11:00,30.356,4133.4
902,03/10/2018 11:10,30.154,2755.6
903,03/10/2018 11:20,30.154,3100
904,03/10/2018 11:30,29.953,3272.2
905,03/10/2018 11:40,30.356,2755.6
906,03/10/2018 11:50,30.255,2238.9
907,03/10/2018 12:00,29.552,2238.9
908,03/10/2018 12:10,29.953,1980.6
909,03/10/2018 12:20,29.752,1463.9
910,03/10/2018 12:30,29.953,1108.7
911,03/10/2018 12:40,29.853,818.1
912,03/10/2018 12:50,29.652,549
913,03/10/2018 13:00,29.452,344.4
914,03/10/2018 13:10,29.752,172.2
915,03/10/2018 13:20,29.853,43.1
916,03/10/2018 13:30,29.552,0
917,03/10/2018 13:40,29.352,0
918,03/10/2018 13:50,29.452,0
919,03/10/2018 14:00,29.352,0
920,03/10/2018 14:10,29.452,0
921,03/10/2018 14:20,29.552,0
922,03/10/2018 14:30,30.558,0
923,03/10/2018 14:40,30.356,0
924,03/10/2018 14:50,29.452,0
925,03/10/2018 15:00,29.552,0
926,03/10/2018 15:10,30.054,0
927,03/10/2018 15:20,29.652,0
928,03/10/2018 15:30,29.352,0
929,03/10/2018 15:40,29.552,0
930,03/10/2018 15:50,29.552,0
931,03/10/2018 16:00,29.552,0
932,03/10/2018 16:10,29.752,0
933,03/10/2018 16:20,30.154,0
934,03/10/2018 16:30,29.752,0
935,03/10/2018 16:40,29.953,0
936,03/10/2018 16:50,29.853,0
937,03/10/2018 17:00,29.752,0
938,03/10/2018 17:10,29.752,0
939,03/10/2018 17:20,29.752,0
940,03/10/2018 17:30,29.752,0
941,03/10/2018 17:40,29.652,0
942,03/10/2018 17:50,29.652,0
943,03/10/2018 18:00,29.752,0
944,03/10/2018 18:10,29.752,0
945,03/10/2018 18:20,29.752,0
946,03/10/2018 18:30,29.652,0
947,03/10/2018 18:40,29.652,0
948,03/10/2018 18:50,29.652,0
949,03/10/2018 19:00,29.652,0
950,03/10/2018 19:10,29.652,0
951,03/10/2018 19:20,29.652,0
952,03/10/2018 19:30,29.652,0
953,03/10/2018 19:40,29.652,0
954,03/10/2018 19:50,29.652,0
955,03/10/2018 20:00,29.652,0
956,03/10/2018 20:10,29.552,0
957,03/10/2018 20:20,29.552,0
958,03/10/2018 20:30,29.552,0
959,03/10/2018 20:40,29.552,0
960,03/10/2018 20:50,29.552,0
961,03/10/2018 21:00,29.552,0
962,03/10/2018 21:10,29.552,0
963,03/10/2018 21:20,29.552,0
964,03/10/2018 21:30,29.452,0
965,03/10/2018 21:40,29.452,0
966,03/10/2018 21:50,29.452,0
967,03/10/2018 22:00,29.452,0
968,03/10/2018 22:10,29.452,0
969,03/10/2018 22:20,29.452,0
