Plot Title: 20014366,,,
#,"Date Time, GMT+05:00","Temp, øC (LGR S/N: 20014366, SEN S/N: 20014366)","Intensity, Lux (LGR S/N: 20014366, SEN S/N: 20014366)"
36,04/07/2017 02:00,29.552,0
37,04/07/2017 06:00,29.352,10.8
38,04/07/2017 10:00,30.054,12400.1
39,04/07/2017 14:00,30.356,9300.1
40,04/07/2017 18:00,30.054,161.5
41,04/07/2017 22:00,30.255,0
42,04/08/2017 02:00,30.054,0
43,04/08/2017 06:00,29.552,0
44,04/08/2017 10:00,30.356,9300.1
45,04/08/2017 14:00,30.558,9300.1
46,04/08/2017 18:00,29.953,183
47,04/08/2017 22:00,30.054,0
48,04/09/2017 02:00,29.752,0
49,04/09/2017 06:00,29.452,10.8
50,04/09/2017 10:00,30.154,9300.1
51,04/09/2017 14:00,30.356,9300.1
52,04/09/2017 18:00,29.953,258.3
53,04/09/2017 22:00,29.752,0
54,04/10/2017 02:00,29.752,0
55,04/10/2017 06:00,29.552,10.8
56,04/10/2017 10:00,30.255,13089
57,04/10/2017 14:00,30.356,11022.3
58,04/10/2017 18:00,30.054,258.3
59,04/10/2017 22:00,29.552,0
60,04/11/2017 02:00,29.752,0
61,04/11/2017 06:00,29.552,0
62,04/11/2017 10:00,29.953,3788.9
63,04/11/2017 14:00,30.356,6200
64,04/11/2017 18:00,30.054,269.1
65,04/11/2017 22:00,29.752,0
66,04/12/2017 02:00,29.752,0
67,04/12/2017 06:00,29.652,10.8
68,04/12/2017 10:00,30.255,12400.1
69,04/12/2017 14:00,30.558,9300.1
70,04/12/2017 18:00,29.953,215.3
71,04/12/2017 22:00,30.054,0
72,04/13/17 02:00:00 AM,29.853,0
73,04/13/17 06:00:00 AM,29.752,10.8
74,04/13/17 10:00:00 AM,30.255,10333.4
75,04/13/17 02:00:00 PM,30.457,9644.5
76,04/13/17 06:00:00 PM,30.054,279.9
77,04/13/17 10:00:00 PM,29.752,0
78,04/14/17 02:00:00 AM,29.853,0
79,04/14/17 06:00:00 AM,29.652,0
80,04/14/17 10:00:00 AM,29.853,3788.9
81,04/14/17 02:00:00 PM,30.154,8611.2
82,04/14/17 06:00:00 PM,29.953,64.6
83,04/14/17 10:00:00 PM,29.652,0
84,04/15/17 02:00:00 AM,29.752,0
85,04/15/17 06:00:00 AM,29.752,10.8
86,04/15/17 10:00:00 AM,30.255,9300.1
87,04/15/17 02:00:00 PM,30.255,7577.8
88,04/15/17 06:00:00 PM,30.054,150.7
89,04/15/17 10:00:00 PM,30.054,0
90,04/16/17 02:00:00 AM,29.652,0
91,04/16/17 06:00:00 AM,29.752,10.8
92,04/16/17 10:00:00 AM,30.356,10333.4
93,04/16/17 02:00:00 PM,30.76,11022.3
94,04/16/17 06:00:00 PM,30.154,183
95,04/16/17 10:00:00 PM,29.953,0
96,04/17/17 02:00:00 AM,29.853,0
97,04/17/17 06:00:00 AM,29.752,21.5
98,04/17/17 10:00:00 AM,30.558,12400.1
99,04/17/17 02:00:00 PM,30.457,11022.3
100,04/17/17 06:00:00 PM,30.255,172.2
101,04/17/17 10:00:00 PM,30.255,0
102,04/18/17 02:00:00 AM,30.356,0
103,04/18/17 06:00:00 AM,30.054,32.3
104,04/18/17 10:00:00 AM,30.76,13777.9
105,04/18/17 02:00:00 PM,30.558,7577.8
106,04/18/17 06:00:00 PM,30.255,139.9
107,04/18/17 10:00:00 PM,30.558,0
108,04/19/17 02:00:00 AM,30.356,0
109,04/19/17 06:00:00 AM,29.953,32.3
110,04/19/17 10:00:00 AM,30.659,12400.1
111,04/19/17 02:00:00 PM,30.76,11711.2
112,04/19/17 06:00:00 PM,30.356,204.5
113,04/19/17 10:00:00 PM,29.953,0
114,04/20/17 02:00:00 AM,30.054,0
115,04/20/17 06:00:00 AM,29.953,32.3
116,04/20/17 10:00:00 AM,30.659,8611.2
117,04/20/17 02:00:00 PM,30.862,13089
118,04/20/17 06:00:00 PM,30.457,183
119,04/20/17 10:00:00 PM,30.154,0
120,04/21/17 02:00:00 AM,30.054,0
121,04/21/17 06:00:00 AM,29.953,32.3
122,04/21/17 10:00:00 AM,30.76,11711.2
123,04/21/17 02:00:00 PM,31.064,13777.9
124,04/21/17 06:00:00 PM,30.457,204.5
125,04/21/17 10:00:00 PM,30.054,0
126,04/22/17 02:00:00 AM,30.154,0
127,04/22/17 06:00:00 AM,30.054,32.3
128,04/22/17 10:00:00 AM,30.659,8611.2
129,04/22/17 02:00:00 PM,30.862,7577.8
