"Plot Title: 20014366"
"#","Date Time, GMT+05:00","Temp, °C (LGR S/N: 20014366, SEN S/N: 20014366)","Intensity, Lux (LGR S/N: 20014366, SEN S/N: 20014366)"
1,04/01/17 06:00:00 AM,23.196,0.0
2,04/01/17 10:00:00 AM,22.621,0.0
3,04/01/17 02:00:00 PM,26.292,0.0
4,04/01/17 06:00:00 PM,33.222,0.0
5,04/01/17 10:00:00 PM,31.574,0.0
6,04/02/17 02:00:00 AM,31.064,0.0
7,04/02/17 06:00:00 AM,30.659,0.0
8,04/02/17 10:00:00 AM,32.704,0.0
9,04/02/17 02:00:00 PM,35.649,0.0
10,04/02/17 06:00:00 PM,30.558,0.0
11,04/02/17 10:00:00 PM,31.268,0.0
12,04/03/17 02:00:00 AM,31.166,0.0
13,04/03/17 06:00:00 AM,30.862,0.0
14,04/03/17 10:00:00 AM,30.760,0.0
15,04/03/17 02:00:00 PM,30.054,0.0
16,04/03/17 06:00:00 PM,29.152,0.0
17,04/03/17 10:00:00 PM,27.567,0.0
18,04/04/17 02:00:00 AM,28.555,0.0
19,04/04/17 06:00:00 AM,29.152,0.0
20,04/04/17 10:00:00 AM,30.760,17911.2
21,04/04/17 02:00:00 PM,30.356,2927.8
22,04/04/17 06:00:00 PM,30.154,204.5
23,04/04/17 10:00:00 PM,30.054,0.0
24,04/05/17 02:00:00 AM,29.853,0.0
25,04/05/17 06:00:00 AM,29.853,0.0
26,04/05/17 10:00:00 AM,30.558,14466.8
27,04/05/17 02:00:00 PM,30.862,20666.8
28,04/05/17 06:00:00 PM,30.054,226.0
29,04/05/17 10:00:00 PM,29.652,0.0
30,04/06/17 02:00:00 AM,29.652,0.0
31,04/06/17 06:00:00 AM,29.552,0.0
32,04/06/17 10:00:00 AM,30.054,1894.5
33,04/06/17 02:00:00 PM,29.853,3616.7
34,04/06/17 06:00:00 PM,29.652,161.5
35,04/06/17 10:00:00 PM,29.452,0.0
36,04/07/17 02:00:00 AM,29.552,0.0
37,04/07/17 06:00:00 AM,29.352,10.8
38,04/07/17 10:00:00 AM,30.054,12400.1
39,04/07/17 02:00:00 PM,30.356,9300.1
40,04/07/17 06:00:00 PM,30.054,161.5
41,04/07/17 10:00:00 PM,30.255,0.0
42,04/08/17 02:00:00 AM,30.054,0.0
43,04/08/17 06:00:00 AM,29.552,0.0
44,04/08/17 10:00:00 AM,30.356,9300.1
45,04/08/17 02:00:00 PM,30.558,9300.1
46,04/08/17 06:00:00 PM,29.953,183.0
47,04/08/17 10:00:00 PM,30.054,0.0
48,04/09/17 02:00:00 AM,29.752,0.0
49,04/09/17 06:00:00 AM,29.452,10.8
50,04/09/17 10:00:00 AM,30.154,9300.1
51,04/09/17 02:00:00 PM,30.356,9300.1
52,04/09/17 06:00:00 PM,29.953,258.3
53,04/09/17 10:00:00 PM,29.752,0.0
54,04/10/17 02:00:00 AM,29.752,0.0
55,04/10/17 06:00:00 AM,29.552,10.8
56,04/10/17 10:00:00 AM,30.255,13089.0
57,04/10/17 02:00:00 PM,30.356,11022.3
58,04/10/17 06:00:00 PM,30.054,258.3
59,04/10/17 10:00:00 PM,29.552,0.0
60,04/11/17 02:00:00 AM,29.752,0.0
61,04/11/17 06:00:00 AM,29.552,0.0
62,04/11/17 10:00:00 AM,29.953,3788.9
63,04/11/17 02:00:00 PM,30.356,6200.0
64,04/11/17 06:00:00 PM,30.054,269.1
65,04/11/17 10:00:00 PM,29.752,0.0
66,04/12/17 02:00:00 AM,29.752,0.0
67,04/12/17 06:00:00 AM,29.652,10.8
68,04/12/17 10:00:00 AM,30.255,12400.1
69,04/12/17 02:00:00 PM,30.558,9300.1
70,04/12/17 06:00:00 PM,29.953,215.3
71,04/12/17 10:00:00 PM,30.054,0.0
72,04/13/17 02:00:00 AM,29.853,0.0
73,04/13/17 06:00:00 AM,29.752,10.8
74,04/13/17 10:00:00 AM,30.255,10333.4
75,04/13/17 02:00:00 PM,30.457,9644.5
76,04/13/17 06:00:00 PM,30.054,279.9
77,04/13/17 10:00:00 PM,29.752,0.0
78,04/14/17 02:00:00 AM,29.853,0.0
79,04/14/17 06:00:00 AM,29.652,0.0
80,04/14/17 10:00:00 AM,29.853,3788.9
81,04/14/17 02:00:00 PM,30.154,8611.2
82,04/14/17 06:00:00 PM,29.953,64.6
83,04/14/17 10:00:00 PM,29.652,0.0
84,04/15/17 02:00:00 AM,29.752,0.0
85,04/15/17 06:00:00 AM,29.752,10.8
86,04/15/17 10:00:00 AM,30.255,9300.1
87,04/15/17 02:00:00 PM,30.255,7577.8
88,04/15/17 06:00:00 PM,30.054,150.7
89,04/15/17 10:00:00 PM,30.054,0.0
90,04/16/17 02:00:00 AM,29.652,0.0
91,04/16/17 06:00:00 AM,29.752,10.8
92,04/16/17 10:00:00 AM,30.356,10333.4
93,04/16/17 02:00:00 PM,30.760,11022.3
94,04/16/17 06:00:00 PM,30.154,183.0
95,04/16/17 10:00:00 PM,29.953,0.0
96,04/17/17 02:00:00 AM,29.853,0.0
97,04/17/17 06:00:00 AM,29.752,21.5
98,04/17/17 10:00:00 AM,30.558,12400.1
99,04/17/17 02:00:00 PM,30.457,11022.3
100,04/17/17 06:00:00 PM,30.255,172.2
101,04/17/17 10:00:00 PM,30.255,0.0
102,04/18/17 02:00:00 AM,30.356,0.0
103,04/18/17 06:00:00 AM,30.054,32.3
104,04/18/17 10:00:00 AM,30.760,13777.9
105,04/18/17 02:00:00 PM,30.558,7577.8
106,04/18/17 06:00:00 PM,30.255,139.9
107,04/18/17 10:00:00 PM,30.558,0.0
108,04/19/17 02:00:00 AM,30.356,0.0
109,04/19/17 06:00:00 AM,29.953,32.3
110,04/19/17 10:00:00 AM,30.659,12400.1
111,04/19/17 02:00:00 PM,30.760,11711.2
112,04/19/17 06:00:00 PM,30.356,204.5
113,04/19/17 10:00:00 PM,29.953,0.0
114,04/20/17 02:00:00 AM,30.054,0.0
115,04/20/17 06:00:00 AM,29.953,32.3
116,04/20/17 10:00:00 AM,30.659,8611.2
117,04/20/17 02:00:00 PM,30.862,13089.0
118,04/20/17 06:00:00 PM,30.457,183.0
119,04/20/17 10:00:00 PM,30.154,0.0
120,04/21/17 02:00:00 AM,30.054,0.0
121,04/21/17 06:00:00 AM,29.953,32.3
122,04/21/17 10:00:00 AM,30.760,11711.2
123,04/21/17 02:00:00 PM,31.064,13777.9
124,04/21/17 06:00:00 PM,30.457,204.5
125,04/21/17 10:00:00 PM,30.054,0.0
126,04/22/17 02:00:00 AM,30.154,0.0
127,04/22/17 06:00:00 AM,30.054,32.3
128,04/22/17 10:00:00 AM,30.659,8611.2
129,04/22/17 02:00:00 PM,30.862,7577.8
130,04/22/17 06:00:00 PM,30.457,129.2
131,04/22/17 10:00:00 PM,29.953,0.0
132,04/23/17 02:00:00 AM,30.356,0.0
133,04/23/17 06:00:00 AM,29.953,21.5
134,04/23/17 10:00:00 AM,30.659,2066.7
135,04/23/17 02:00:00 PM,30.862,5166.7
136,04/23/17 06:00:00 PM,30.659,75.3
137,04/23/17 10:00:00 PM,30.457,0.0
138,04/24/17 02:00:00 AM,30.255,0.0
139,04/24/17 06:00:00 AM,30.054,10.8
140,04/24/17 10:00:00 AM,30.760,2325.0
141,04/24/17 02:00:00 PM,30.963,3100.0
142,04/24/17 06:00:00 PM,30.457,43.1
143,04/24/17 10:00:00 PM,30.154,0.0
144,04/25/17 02:00:00 AM,30.255,0.0
145,04/25/17 06:00:00 AM,29.953,0.0
146,04/25/17 10:00:00 AM,30.558,2497.2
147,04/25/17 02:00:00 PM,30.659,2238.9
148,04/25/17 06:00:00 PM,30.356,21.5
149,04/25/17 10:00:00 PM,30.558,0.0
150,04/26/17 02:00:00 AM,30.154,0.0
151,04/26/17 06:00:00 AM,30.054,0.0
152,04/26/17 10:00:00 AM,30.659,1076.4
153,04/26/17 02:00:00 PM,30.760,1550.0
154,04/26/17 06:00:00 PM,30.659,10.8
155,04/26/17 10:00:00 PM,30.760,0.0
156,04/27/17 02:00:00 AM,30.154,0.0
157,04/27/17 06:00:00 AM,30.054,0.0
158,04/27/17 10:00:00 AM,30.558,1141.0
159,04/27/17 02:00:00 PM,30.862,1011.8
160,04/27/17 06:00:00 PM,30.457,10.8
161,04/27/17 10:00:00 PM,30.558,0.0
162,04/28/17 02:00:00 AM,30.255,0.0
163,04/28/17 06:00:00 AM,30.054,0.0
164,04/28/17 10:00:00 AM,30.054,10.8
165,04/28/17 02:00:00 PM,30.154,226.0
166,04/28/17 06:00:00 PM,30.154,0.0
167,04/28/17 10:00:00 PM,29.853,0.0
168,04/29/17 02:00:00 AM,30.054,0.0
169,04/29/17 06:00:00 AM,29.953,0.0
170,04/29/17 10:00:00 AM,30.356,721.2
171,04/29/17 02:00:00 PM,30.356,204.5
172,04/29/17 06:00:00 PM,30.255,0.0
173,04/29/17 10:00:00 PM,29.752,0.0
