Plot Title: 20051877,,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20051877, SEN S/N: 20051877)","Intensity, Lux (LGR S/N: 20051877, SEN S/N: 20051877)",End Of File (LGR S/N: 20051877)
24745,12/15/17 12:00:00 AM,29.053,0,
24746,12/15/17 12:15:00 AM,29.053,0,
24747,12/15/17 12:30:00 AM,29.152,0,
24748,12/15/17 12:45:00 AM,29.152,0,
24749,12/15/17 01:00:00 AM,29.152,0,
24750,12/15/17 01:15:00 AM,29.152,0,
24751,12/15/17 01:30:00 AM,29.152,0,
24752,12/15/17 01:45:00 AM,29.152,0,
24753,12/15/17 02:00:00 AM,29.152,0,
24754,12/15/17 02:15:00 AM,29.152,0,
24755,12/15/17 02:30:00 AM,29.152,0,
24756,12/15/17 02:45:00 AM,29.152,0,
24757,12/15/17 03:00:00 AM,29.152,0,
24758,12/15/17 03:15:00 AM,29.053,0,
24759,12/15/17 03:30:00 AM,29.053,0,
24760,12/15/17 03:45:00 AM,29.053,0,
24761,12/15/17 04:00:00 AM,29.053,0,
24762,12/15/17 04:15:00 AM,29.053,0,
24763,12/15/17 04:30:00 AM,29.053,0,
24764,12/15/17 04:45:00 AM,29.053,0,
24765,12/15/17 05:00:00 AM,29.053,0,
24766,12/15/17 05:15:00 AM,29.053,0,
24767,12/15/17 05:30:00 AM,29.053,0,
24768,12/15/17 05:45:00 AM,29.053,0,
24769,12/15/17 06:00:00 AM,29.053,0,
24770,12/15/17 06:15:00 AM,29.053,0,
24771,12/15/17 06:30:00 AM,29.053,10.8,
24772,12/15/17 06:45:00 AM,29.053,21.5,
24773,12/15/17 07:00:00 AM,29.053,32.3,
24774,12/15/17 07:15:00 AM,29.053,43.1,
24775,12/15/17 07:30:00 AM,28.953,64.6,
24776,12/15/17 07:45:00 AM,28.953,75.3,
24777,12/15/17 08:00:00 AM,29.053,96.9,
24778,12/15/17 08:15:00 AM,29.152,118.4,
24779,12/15/17 08:30:00 AM,29.152,150.7,
24780,12/15/17 08:45:00 AM,29.152,150.7,
24781,12/15/17 09:00:00 AM,29.152,193.8,
24782,12/15/17 09:15:00 AM,29.252,183,
24783,12/15/17 09:30:00 AM,29.152,269.1,
24784,12/15/17 09:45:00 AM,29.152,290.6,
24785,12/15/17 10:00:00 AM,29.252,333.7,
24786,12/15/17 10:15:00 AM,29.152,118.4,
24787,12/15/17 10:30:00 AM,29.152,290.6,
24788,12/15/17 10:45:00 AM,29.252,409,
24789,12/15/17 11:00:00 AM,29.152,419.8,
24790,12/15/17 11:15:00 AM,29.252,462.9,
24791,12/15/17 11:30:00 AM,29.352,344.4,
24792,12/15/17 11:45:00 AM,29.352,473.6,
24793,12/15/17 12:00:00 PM,29.352,473.6,
24794,12/15/17 12:15:00 PM,29.252,53.8,
24795,12/15/17 12:30:00 PM,29.252,107.6,
24796,12/15/17 12:45:00 PM,29.252,258.3,
24797,12/15/17 01:00:00 PM,29.252,366,
24798,12/15/17 01:15:00 PM,29.252,226,
24799,12/15/17 01:30:00 PM,29.352,430.6,
24800,12/15/17 01:45:00 PM,29.352,279.9,
24801,12/15/17 02:00:00 PM,29.352,204.5,
24802,12/15/17 02:15:00 PM,29.352,279.9,
24803,12/15/17 02:30:00 PM,29.452,258.3,
24804,12/15/17 02:45:00 PM,29.452,247.6,
24805,12/15/17 03:00:00 PM,29.452,247.6,
24806,12/15/17 03:15:00 PM,29.452,193.8,
24807,12/15/17 03:30:00 PM,29.452,172.2,
24808,12/15/17 03:45:00 PM,29.252,129.2,
24809,12/15/17 04:00:00 PM,29.252,64.6,
24810,12/15/17 04:15:00 PM,29.252,53.8,
