Plot Title: 20046742,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046742, SEN S/N: 20046742)","Intensity, lum/ftý (LGR S/N: 20046742, SEN S/N: 20046742)",Coupler Detached (LGR S/N: 20046742),Coupler Attached (LGR S/N: 20046742),Host Connected (LGR S/N: 20046742),Stopped (LGR S/N: 20046742),End Of File (LGR S/N: 20046742)
5541,03/01/2017 00:07,83.043,0,,,,,
5542,03/01/2017 00:17,83.043,0,,,,,
5543,03/01/2017 00:27,83.043,0,,,,,
5544,03/01/2017 00:37,83.221,0,,,,,
5545,03/01/2017 00:47,83.221,0,,,,,
5546,03/01/2017 00:57,83.221,0,,,,,
5547,03/01/2017 01:07,83.399,0,,,,,
5548,03/01/2017 01:17,83.221,0,,,,,
5549,03/01/2017 01:27,83.221,0,,,,,
5550,03/01/2017 01:37,83.043,0,,,,,
5551,03/01/2017 01:47,82.864,0,,,,,
5552,03/01/2017 01:57,83.221,0,,,,,
5553,03/01/2017 02:07,83.221,0,,,,,
5554,03/01/2017 02:17,83.221,0,,,,,
5555,03/01/2017 02:27,83.221,0,,,,,
5556,03/01/2017 02:37,83.221,0,,,,,
5557,03/01/2017 02:47,83.221,0,,,,,
5558,03/01/2017 02:57,83.221,0,,,,,
5559,03/01/2017 03:07,83.221,0,,,,,
5560,03/01/2017 03:17,83.221,0,,,,,
5561,03/01/2017 03:27,83.399,0,,,,,
5562,03/01/2017 03:37,83.221,0,,,,,
5563,03/01/2017 03:47,83.221,0,,,,,
5564,03/01/2017 03:57,83.221,0,,,,,
5565,03/01/2017 04:07,83.221,0,,,,,
5566,03/01/2017 04:17,83.221,0,,,,,
5567,03/01/2017 04:27,83.221,0,,,,,
5568,03/01/2017 04:37,83.221,0,,,,,
5569,03/01/2017 04:47,83.043,0,,,,,
5570,03/01/2017 04:57,83.043,0,,,,,
5571,03/01/2017 05:07,83.043,0,,,,,
5572,03/01/2017 05:17,83.043,0,,,,,
5573,03/01/2017 05:27,83.221,0,,,,,
5574,03/01/2017 05:37,83.221,0,,,,,
5575,03/01/2017 05:47,83.221,0,,,,,
5576,03/01/2017 05:57,83.221,0,,,,,
5577,03/01/2017 06:07,83.043,0,,,,,
5578,03/01/2017 06:17,83.043,0,,,,,
5579,03/01/2017 06:27,83.043,0,,,,,
5580,03/01/2017 06:37,83.043,1,,,,,
5581,03/01/2017 06:47,83.043,1,,,,,
5582,03/01/2017 06:57,83.043,2,,,,,
5583,03/01/2017 07:07,83.043,4,,,,,
5584,03/01/2017 07:17,83.043,5,,,,,
5585,03/01/2017 07:27,83.043,7,,,,,
5586,03/01/2017 07:37,83.043,10,,,,,
5587,03/01/2017 07:47,83.043,14,,,,,
5588,03/01/2017 07:57,83.043,16,,,,,
5589,03/01/2017 08:07,83.043,16,,,,,
5590,03/01/2017 08:17,82.864,16,,,,,
5591,03/01/2017 08:27,82.864,16,,,,,
5592,03/01/2017 08:37,82.864,17,,,,,
5593,03/01/2017 08:47,82.864,18,,,,,
5594,03/01/2017 08:57,82.864,19,,,,,
5595,03/01/2017 09:07,82.864,22,,,,,
5596,03/01/2017 09:17,82.864,25,,,,,
5597,03/01/2017 09:27,82.864,24,,,,,
5598,03/01/2017 09:37,82.864,25,,,,,
5599,03/01/2017 09:47,82.864,29,,,,,
5600,03/01/2017 09:57,82.864,31,,,,,
5601,03/01/2017 10:07,82.864,34,,,,,
5602,03/01/2017 10:17,82.864,36,,,,,
5603,03/01/2017 10:27,83.043,35,,,,,
5604,03/01/2017 10:37,82.864,36,,,,,
5605,03/01/2017 10:47,82.864,35,,,,,
5606,03/01/2017 10:57,82.864,36,,,,,
5607,03/01/2017 11:07,82.686,36,,,,,
5608,03/01/2017 11:17,82.686,35,,,,,
5609,03/01/2017 11:27,82.508,35,,,,,
5610,03/01/2017 11:37,82.686,37,,,,,
5611,03/01/2017 11:47,82.686,38,,,,,
5612,03/01/2017 11:57,82.686,40,,,,,
5613,03/01/2017 12:07,82.686,40,,,,,
5614,03/01/2017 12:17,82.508,39,,,,,
5615,03/01/2017 12:27,82.508,36,,,,,
5616,03/01/2017 12:37,82.33,35,,,,,
5617,03/01/2017 12:47,82.33,34,,,,,
5618,03/01/2017 12:57,82.33,30,,,,,
5619,03/01/2017 13:07,82.508,33,,,,,
5620,03/01/2017 13:17,82.686,34,,,,,
5621,03/01/2017 13:27,82.686,34,,,,,
5622,03/01/2017 13:37,82.864,38,,,,,
5623,03/01/2017 13:47,82.152,34,,,,,
5624,03/01/2017 13:57,82.508,38,,,,,
5625,03/01/2017 14:07,82.686,33,,,,,
5626,03/01/2017 14:17,82.508,31,,,,,
5627,03/01/2017 14:27,82.686,28,,,,,
5628,03/01/2017 14:37,82.686,39,,,,,
5629,03/01/2017 14:47,83.221,37,,,,,
5630,03/01/2017 14:57,83.221,49,,,,,
5631,03/01/2017 15:07,83.399,53,,,,,
5632,03/01/2017 15:17,83.221,50,,,,,
5633,03/01/2017 15:27,83.221,45,,,,,
5634,03/01/2017 15:37,83.399,33,,,,,
5635,03/01/2017 15:47,83.399,25,,,,,
5636,03/01/2017 15:57,83.399,19,,,,,
5637,03/01/2017 16:07,83.221,17,,,,,
5638,03/01/2017 16:17,83.221,14,,,,,
5639,03/01/2017 16:27,83.221,12,,,,,
5640,03/01/2017 16:37,83.221,12,,,,,
5641,03/01/2017 16:47,83.221,11,,,,,
5642,03/01/2017 16:57,83.221,9,,,,,
5643,03/01/2017 17:07,83.221,8,,,,,
5644,03/01/2017 17:17,83.221,7,,,,,
5645,03/01/2017 17:27,83.399,6,,,,,
5646,03/01/2017 17:37,83.399,5,,,,,
5647,03/01/2017 17:47,83.399,2,,,,,
5648,03/01/2017 17:57,83.221,1,,,,,
5649,03/01/2017 18:07,83.043,0,,,,,
5650,03/01/2017 18:17,83.043,0,,,,,
5651,03/01/2017 18:27,83.221,0,,,,,
5652,03/01/2017 18:37,83.043,0,,,,,
5653,03/01/2017 18:47,83.043,0,,,,,
5654,03/01/2017 18:57,83.043,0,,,,,
5655,03/01/2017 19:07,83.221,0,,,,,
5656,03/01/2017 19:17,83.043,0,,,,,
5657,03/01/2017 19:27,83.043,0,,,,,
5658,03/01/2017 19:37,83.043,0,,,,,
5659,03/01/2017 19:47,83.043,0,,,,,
5660,03/01/2017 19:57,82.864,0,,,,,
5661,03/01/2017 20:07,82.864,0,,,,,
5662,03/01/2017 20:17,82.864,0,,,,,
5663,03/01/2017 20:27,82.864,0,,,,,
5664,03/01/2017 20:37,82.864,0,,,,,
5665,03/01/2017 20:47,82.864,0,,,,,
5666,03/01/2017 20:57,82.686,0,,,,,
5667,03/01/2017 21:07,82.686,0,,,,,
5668,03/01/2017 21:17,82.686,0,,,,,
5669,03/01/2017 21:27,82.686,0,,,,,
5670,03/01/2017 21:37,82.686,0,,,,,
5671,03/01/2017 21:47,82.686,0,,,,,
5672,03/01/2017 21:57,82.686,0,,,,,
5673,03/01/2017 22:07,82.686,0,,,,,
5674,03/01/2017 22:17,82.686,0,,,,,
5675,03/01/2017 22:27,82.508,0,,,,,
5676,03/01/2017 22:37,82.508,0,,,,,
5677,03/01/2017 22:47,82.508,0,,,,,
5678,03/01/2017 22:57,82.508,0,,,,,
5679,03/01/2017 23:07,82.508,0,,,,,
5680,03/01/2017 23:17,82.33,0,,,,,
5681,03/01/2017 23:27,82.33,0,,,,,
5682,03/01/2017 23:37,82.33,0,,,,,
5683,03/01/2017 23:47,82.33,0,,,,,
5684,03/01/2017 23:57,82.33,0,,,,,
5685,03/02/2017 00:07,82.33,0,,,,,
5686,03/02/2017 00:17,82.33,0,,,,,
5687,03/02/2017 00:27,82.33,0,,,,,
5688,03/02/2017 00:37,82.33,0,,,,,
5689,03/02/2017 00:47,82.33,0,,,,,
5690,03/02/2017 00:57,82.33,0,,,,,
5691,03/02/2017 01:07,82.152,0,,,,,
5692,03/02/2017 01:17,81.797,0,,,,,
5693,03/02/2017 01:27,81.797,0,,,,,
5694,03/02/2017 01:37,81.621,0,,,,,
5695,03/02/2017 01:47,81.797,0,,,,,
5696,03/02/2017 01:57,81.797,0,,,,,
5697,03/02/2017 02:07,81.797,0,,,,,
5698,03/02/2017 02:17,81.797,0,,,,,
5699,03/02/2017 02:27,81.975,0,,,,,
5700,03/02/2017 02:37,81.975,0,,,,,
5701,03/02/2017 02:47,81.975,0,,,,,
5702,03/02/2017 02:57,81.797,0,,,,,
5703,03/02/2017 03:07,81.797,0,,,,,
5704,03/02/2017 03:17,81.797,0,,,,,
5705,03/02/2017 03:27,81.797,0,,,,,
5706,03/02/2017 03:37,81.797,0,,,,,
5707,03/02/2017 03:47,83.579,0,,,,,
5708,03/02/2017 03:57,83.757,0,,,,,
5709,03/02/2017 04:07,83.757,0,,,,,
5710,03/02/2017 04:17,83.757,0,,,,,
5711,03/02/2017 04:27,83.935,0,,,,,
5712,03/02/2017 04:37,83.579,0,,,,,
5713,03/02/2017 04:47,83.935,0,,,,,
5714,03/02/2017 04:57,82.508,0,,,,,
5715,03/02/2017 05:07,83.399,0,,,,,
5716,03/02/2017 05:17,82.686,0,,,,,
5717,03/02/2017 05:27,82.864,0,,,,,
5718,03/02/2017 05:37,82.864,0,,,,,
5719,03/02/2017 05:47,82.33,0,,,,,
5720,03/02/2017 05:57,82.508,0,,,,,
5721,03/02/2017 06:07,82.33,0,,,,,
5722,03/02/2017 06:17,82.33,0,,,,,
5723,03/02/2017 06:27,82.33,0,,,,,
5724,03/02/2017 06:37,82.152,2,,,,,
5725,03/02/2017 06:47,81.975,5,,,,,
5726,03/02/2017 06:57,81.975,5,,,,,
5727,03/02/2017 07:07,81.975,7,,,,,
5728,03/02/2017 07:17,81.975,12,,,,,
