Plot Title: 20046751,,,,,,,,
#,"Date Time, GMT+05:00","Temp, ¡F (LGR S/N: 20046751, SEN S/N: 20046751, LBL: T (¡C))","Intensity, lum/ft? (LGR S/N: 20046751, SEN S/N: 20046751, LBL: light (lux))",Coupler Detached (LGR S/N: 20046751),Coupler Attached (LGR S/N: 20046751),Host Connected (LGR S/N: 20046751),Stopped (LGR S/N: 20046751),End Of File (LGR S/N: 20046751)
5540,03/01/2017 00:01,83.757,0,,,,,
5541,03/01/2017 00:11,83.757,0,,,,,
5542,03/01/2017 00:21,83.757,0,,,,,
5543,03/01/2017 00:31,83.757,0,,,,,
5544,03/01/2017 00:41,83.757,0,,,,,
5545,03/01/2017 00:51,83.757,0,,,,,
5546,03/01/2017 01:01,83.757,0,,,,,
5547,03/01/2017 01:11,83.757,0,,,,,
5548,03/01/2017 01:21,83.579,0,,,,,
5549,03/01/2017 01:31,83.579,0,,,,,
5550,03/01/2017 01:41,83.579,0,,,,,
5551,03/01/2017 01:51,83.579,0,,,,,
5552,03/01/2017 02:01,83.399,0,,,,,
5553,03/01/2017 02:11,83.399,0,,,,,
5554,03/01/2017 02:21,83.399,0,,,,,
5555,03/01/2017 02:31,83.399,0,,,,,
5556,03/01/2017 02:41,83.399,0,,,,,
5557,03/01/2017 02:51,83.399,0,,,,,
5558,03/01/2017 03:01,83.399,0,,,,,
5559,03/01/2017 03:11,83.399,0,,,,,
5560,03/01/2017 03:21,83.399,0,,,,,
5561,03/01/2017 03:31,83.399,0,,,,,
5562,03/01/2017 03:41,83.399,0,,,,,
5563,03/01/2017 03:51,83.399,0,,,,,
5564,03/01/2017 04:01,83.399,0,,,,,
5565,03/01/2017 04:11,83.399,0,,,,,
5566,03/01/2017 04:21,83.399,0,,,,,
5567,03/01/2017 04:31,83.399,0,,,,,
5568,03/01/2017 04:41,83.399,0,,,,,
5569,03/01/2017 04:51,83.399,0,,,,,
5570,03/01/2017 05:01,83.399,0,,,,,
5571,03/01/2017 05:11,83.221,0,,,,,
5572,03/01/2017 05:21,83.221,0,,,,,
5573,03/01/2017 05:31,83.221,0,,,,,
5574,03/01/2017 05:41,83.221,0,,,,,
5575,03/01/2017 05:51,83.221,0,,,,,
5576,03/01/2017 06:01,83.221,0,,,,,
5577,03/01/2017 06:11,83.221,0,,,,,
5578,03/01/2017 06:21,83.221,3,,,,,
5579,03/01/2017 06:31,83.221,14,,,,,
5580,03/01/2017 06:41,83.221,24,,,,,
5581,03/01/2017 06:51,83.221,28,,,,,
5582,03/01/2017 07:01,83.221,48,,,,,
5583,03/01/2017 07:11,83.221,65,,,,,
5584,03/01/2017 07:21,83.221,82,,,,,
5585,03/01/2017 07:31,83.043,104,,,,,
5586,03/01/2017 07:41,83.221,160,,,,,
5587,03/01/2017 07:51,83.221,208,,,,,
5588,03/01/2017 08:01,83.043,216,,,,,
5589,03/01/2017 08:11,83.043,216,,,,,
5590,03/01/2017 08:21,83.043,216,,,,,
5591,03/01/2017 08:31,83.043,216,,,,,
5592,03/01/2017 08:41,83.043,224,,,,,
5593,03/01/2017 08:51,83.043,224,,,,,
5594,03/01/2017 09:01,83.399,248,,,,,
5595,03/01/2017 09:11,83.399,304,,,,,
5596,03/01/2017 09:21,83.399,320,,,,,
5597,03/01/2017 09:31,83.399,304,,,,,
5598,03/01/2017 09:41,83.399,352,,,,,
5599,03/01/2017 09:51,83.399,400,,,,,
5600,03/01/2017 10:01,83.399,432,,,,,
5601,03/01/2017 10:11,83.579,464,,,,,
5602,03/01/2017 10:21,83.579,496,,,,,
5603,03/01/2017 10:31,83.579,480,,,,,
5604,03/01/2017 10:41,83.579,496,,,,,
5605,03/01/2017 10:51,83.579,480,,,,,
5606,03/01/2017 11:01,83.579,480,,,,,
5607,03/01/2017 11:11,83.579,496,,,,,
5608,03/01/2017 11:21,83.579,496,,,,,
5609,03/01/2017 11:31,83.579,480,,,,,
5610,03/01/2017 11:41,83.579,480,,,,,
5611,03/01/2017 11:51,83.579,512,,,,,
5612,03/01/2017 12:01,83.579,512,,,,,
5613,03/01/2017 12:11,83.579,512,,,,,
5614,03/01/2017 12:21,83.579,512,,,,,
5615,03/01/2017 12:31,83.579,496,,,,,
5616,03/01/2017 12:41,83.579,480,,,,,
5617,03/01/2017 12:51,83.579,480,,,,,
5618,03/01/2017 13:01,83.399,432,,,,,
5619,03/01/2017 13:11,83.579,512,,,,,
5620,03/01/2017 13:21,83.579,480,,,,,
5621,03/01/2017 13:31,83.399,496,,,,,
