"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
1,01/24/17 02:14:11 PM,88.833,0.0,,
2,01/24/17 02:14:21 PM,,,Logged,
3,01/24/17 03:14:11 PM,84.834,53.0,,
4,01/24/17 04:14:11 PM,81.975,88.0,,
5,01/24/17 05:14:11 PM,81.975,28.0,,
6,01/24/17 06:14:11 PM,81.797,1.0,,
7,01/24/17 07:14:11 PM,81.975,0.0,,
8,01/24/17 08:14:11 PM,81.975,0.0,,
9,01/24/17 09:14:11 PM,81.975,0.0,,
10,01/24/17 10:14:11 PM,81.975,0.0,,
11,01/24/17 11:14:11 PM,82.152,0.0,,
12,01/25/17 12:14:11 AM,81.975,0.0,,
13,01/25/17 01:14:11 AM,81.975,0.0,,
14,01/25/17 02:14:11 AM,81.975,0.0,,
15,01/25/17 03:14:11 AM,81.975,0.0,,
16,01/25/17 04:14:11 AM,81.975,0.0,,
17,01/25/17 05:14:11 AM,81.975,0.0,,
18,01/25/17 06:14:11 AM,81.975,0.0,,
19,01/25/17 07:14:11 AM,81.975,46.0,,
20,01/25/17 08:14:11 AM,82.152,93.0,,
21,01/25/17 09:14:11 AM,82.152,184.0,,
22,01/25/17 10:14:11 AM,82.152,272.0,,
23,01/25/17 11:14:11 AM,82.330,368.0,,
24,01/25/17 12:14:11 PM,82.152,304.0,,
25,01/25/17 01:14:11 PM,82.508,79.0,,
26,01/25/17 02:14:11 PM,82.152,200.0,,
27,01/25/17 03:14:11 PM,82.330,106.0,,
28,01/25/17 04:14:11 PM,82.330,59.0,,
29,01/25/17 05:14:11 PM,82.508,23.0,,
30,01/25/17 06:14:11 PM,82.152,0.0,,
31,01/25/17 07:14:11 PM,82.508,0.0,,
32,01/25/17 08:14:11 PM,82.330,0.0,,
33,01/25/17 09:14:11 PM,82.508,0.0,,
34,01/25/17 10:14:11 PM,82.686,0.0,,
35,01/25/17 11:14:11 PM,82.508,0.0,,
36,01/26/17 12:14:11 AM,82.508,0.0,,
37,01/26/17 01:14:11 AM,83.043,0.0,,
38,01/26/17 02:14:11 AM,82.508,0.0,,
39,01/26/17 03:14:11 AM,82.508,0.0,,
40,01/26/17 04:14:11 AM,82.508,0.0,,
41,01/26/17 05:14:11 AM,82.508,0.0,,
42,01/26/17 06:14:11 AM,82.508,0.0,,
43,01/26/17 07:14:11 AM,82.686,0.0,,
44,01/26/17 08:14:11 AM,82.686,7.0,,
45,01/26/17 09:14:11 AM,82.686,14.0,,
46,01/26/17 10:14:11 AM,82.686,49.0,,
47,01/26/17 11:14:11 AM,82.686,37.0,,
48,01/26/17 12:14:11 PM,82.508,112.0,,
49,01/26/17 01:14:11 PM,82.508,76.0,,
50,01/26/17 02:14:11 PM,82.508,104.0,,
51,01/26/17 03:14:11 PM,82.508,49.0,,
52,01/26/17 04:14:11 PM,82.330,26.0,,
53,01/26/17 05:14:11 PM,82.508,23.0,,
