Plot Title: 20046741,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046741, SEN S/N: 20046741)","Intensity, lum/ftý (LGR S/N: 20046741, SEN S/N: 20046741)",Coupler Detached (LGR S/N: 20046741),Coupler Attached (LGR S/N: 20046741),Host Connected (LGR S/N: 20046741),Stopped (LGR S/N: 20046741),End Of File (LGR S/N: 20046741)
645,01/26/17 12:03:27 AM,82.508,0,,,,,
646,01/26/17 12:13:27 AM,82.508,0,,,,,
647,01/26/17 12:23:27 AM,82.508,0,,,,,
648,01/26/17 12:33:27 AM,82.508,0,,,,,
649,01/26/17 12:43:27 AM,82.508,0,,,,,
650,01/26/17 12:53:27 AM,82.686,0,,,,,
651,01/26/17 01:03:27 AM,82.864,0,,,,,
652,01/26/17 01:13:27 AM,83.043,0,,,,,
653,01/26/17 01:23:27 AM,82.864,0,,,,,
654,01/26/17 01:33:27 AM,82.33,0,,,,,
655,01/26/17 01:43:27 AM,82.508,0,,,,,
656,01/26/17 01:53:27 AM,82.508,0,,,,,
657,01/26/17 02:03:27 AM,82.508,0,,,,,
658,01/26/17 02:13:27 AM,82.508,0,,,,,
659,01/26/17 02:23:27 AM,82.508,0,,,,,
660,01/26/17 02:33:27 AM,82.508,0,,,,,
661,01/26/17 02:43:27 AM,82.686,0,,,,,
662,01/26/17 02:53:27 AM,82.686,0,,,,,
663,01/26/17 03:03:27 AM,82.508,0,,,,,
664,01/26/17 03:13:27 AM,82.508,0,,,,,
665,01/26/17 03:23:27 AM,82.508,0,,,,,
666,01/26/17 03:33:27 AM,82.686,0,,,,,
667,01/26/17 03:43:27 AM,82.686,0,,,,,
668,01/26/17 03:53:27 AM,82.686,0,,,,,
669,01/26/17 04:03:27 AM,82.508,0,,,,,
670,01/26/17 04:13:27 AM,82.508,0,,,,,
671,01/26/17 04:23:27 AM,82.508,0,,,,,
672,01/26/17 04:33:27 AM,82.508,0,,,,,
673,01/26/17 04:43:27 AM,82.508,0,,,,,
674,01/26/17 04:53:27 AM,82.508,0,,,,,
675,01/26/17 05:03:27 AM,82.508,0,,,,,
676,01/26/17 05:13:27 AM,82.508,0,,,,,
677,01/26/17 05:23:27 AM,82.508,0,,,,,
678,01/26/17 05:33:27 AM,82.508,0,,,,,
679,01/26/17 05:43:27 AM,82.686,0,,,,,
680,01/26/17 05:53:27 AM,82.686,0,,,,,
681,01/26/17 06:03:27 AM,82.686,0,,,,,
682,01/26/17 06:13:27 AM,82.508,0,,,,,
683,01/26/17 06:23:27 AM,82.508,0,,,,,
684,01/26/17 06:33:27 AM,82.508,0,,,,,
685,01/26/17 06:43:27 AM,82.508,2,,,,,
686,01/26/17 06:53:27 AM,82.686,4,,,,,
687,01/26/17 07:03:27 AM,82.686,3,,,,,
688,01/26/17 07:13:27 AM,82.686,1,,,,,
689,01/26/17 07:23:27 AM,82.686,4,,,,,
690,01/26/17 07:33:27 AM,82.508,8,,,,,
691,01/26/17 07:43:27 AM,82.686,7,,,,,
692,01/26/17 07:53:27 AM,82.686,8,,,,,
693,01/26/17 08:03:27 AM,82.686,6,,,,,
694,01/26/17 08:13:27 AM,82.686,9,,,,,
695,01/26/17 08:23:27 AM,82.686,7,,,,,
696,01/26/17 08:33:27 AM,82.686,14,,,,,
697,01/26/17 08:43:27 AM,82.686,13,,,,,
698,01/26/17 08:53:27 AM,82.686,16,,,,,
699,01/26/17 09:03:27 AM,82.686,17,,,,,
700,01/26/17 09:13:27 AM,82.686,19,,,,,
701,01/26/17 09:23:27 AM,82.686,23,,,,,
702,01/26/17 09:33:27 AM,82.686,30,,,,,
703,01/26/17 09:43:27 AM,82.686,36,,,,,
704,01/26/17 09:53:27 AM,82.686,48,,,,,
705,01/26/17 10:03:27 AM,82.686,58,,,,,
706,01/26/17 10:13:27 AM,82.686,66,,,,,
707,01/26/17 10:23:27 AM,82.686,75,,,,,
708,01/26/17 10:33:27 AM,82.686,81,,,,,
709,01/26/17 10:43:27 AM,82.686,74,,,,,
710,01/26/17 10:53:27 AM,82.686,82,,,,,
