Plot Title: 20065911,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20065911, SEN S/N: 20065911)","Intensity, Lux (LGR S/N: 20065911, SEN S/N: 20065911)"
70,04/07/2017 00:00,29.352,0
71,04/07/2017 02:00,29.352,0
72,04/07/2017 04:00,29.452,0
73,04/07/2017 06:00,29.352,0
74,04/07/2017 08:00,29.452,1334.7
75,04/07/2017 10:00,29.552,4822.3
76,04/07/2017 12:00,29.552,5166.7
77,04/07/2017 14:00,29.552,2497.2
78,04/07/2017 16:00,29.552,925.7
79,04/07/2017 18:00,29.452,32.3
80,04/07/2017 20:00,29.552,0
81,04/07/2017 22:00,29.552,0
82,04/08/2017 00:00,29.552,0
83,04/08/2017 02:00,29.552,0
84,04/08/2017 04:00,29.552,0
85,04/08/2017 06:00,29.552,0
86,04/08/2017 08:00,29.752,828.8
87,04/08/2017 10:00,29.752,2066.7
88,04/08/2017 12:00,29.853,2927.8
89,04/08/2017 14:00,30.054,5511.1
90,04/08/2017 16:00,29.752,301.4
91,04/08/2017 18:00,29.752,64.6
92,04/08/2017 20:00,29.752,0
93,04/08/2017 22:00,29.752,0
94,04/09/2017 00:00,29.752,0
95,04/09/2017 02:00,29.752,0
96,04/09/2017 04:00,29.652,0
97,04/09/2017 06:00,29.552,0
98,04/09/2017 08:00,29.552,1119.5
99,04/09/2017 10:00,29.652,2927.8
100,04/09/2017 12:00,29.752,4822.3
101,04/09/2017 14:00,30.054,6544.5
102,04/09/2017 16:00,29.953,2238.9
103,04/09/2017 18:00,29.752,75.3
104,04/09/2017 20:00,29.752,0
105,04/09/2017 22:00,29.752,0
106,04/10/2017 00:00,29.853,0
107,04/10/2017 02:00,29.752,0
108,04/10/2017 04:00,29.652,0
109,04/10/2017 06:00,29.552,0
110,04/10/2017 08:00,29.652,1227.1
111,04/10/2017 10:00,29.752,3616.7
112,04/10/2017 12:00,29.853,5511.1
113,04/10/2017 14:00,30.154,6200
114,04/10/2017 16:00,30.054,2583.4
115,04/10/2017 18:00,29.853,96.9
116,04/10/2017 20:00,29.853,0
117,04/10/2017 22:00,29.752,0
118,04/11/2017 00:00,29.652,0
119,04/11/2017 02:00,29.752,0
120,04/11/2017 04:00,29.752,0
121,04/11/2017 06:00,29.752,0
122,04/11/2017 08:00,29.652,419.8
123,04/11/2017 10:00,29.752,1377.8
124,04/11/2017 12:00,29.953,6200
125,04/11/2017 14:00,29.953,3444.5
126,04/11/2017 16:00,30.054,1377.8
127,04/11/2017 18:00,29.953,75.3
128,04/11/2017 20:00,29.953,0
129,04/11/2017 22:00,29.853,0
130,04/12/2017 00:00,29.853,0
131,04/12/2017 02:00,29.752,0
132,04/12/2017 04:00,29.752,0
133,04/12/2017 06:00,29.652,0
134,04/12/2017 08:00,29.752,1463.9
135,04/12/2017 10:00,29.953,2325
136,04/12/2017 12:00,29.953,4822.3
137,04/12/2017 14:00,29.953,4305.6
138,04/12/2017 16:00,29.853,1550
139,04/12/2017 18:00,29.853,53.8
140,04/12/2017 20:00,29.853,0
141,04/12/2017 22:00,29.853,0
142,04/13/17 12:00:00 AM,29.853,0
143,04/13/17 02:00:00 AM,29.752,0
144,04/13/17 04:00:00 AM,29.853,0
145,04/13/17 06:00:00 AM,29.752,0
146,04/13/17 08:00:00 AM,29.752,1162.5
147,04/13/17 10:00:00 AM,29.853,3444.5
148,04/13/17 12:00:00 PM,29.853,1550
149,04/13/17 02:00:00 PM,29.953,4477.8
150,04/13/17 04:00:00 PM,29.853,2325
151,04/13/17 06:00:00 PM,29.853,64.6
152,04/13/17 08:00:00 PM,29.853,0
153,04/13/17 10:00:00 PM,29.853,0
154,04/14/17 12:00:00 AM,29.752,0
155,04/14/17 02:00:00 AM,29.853,0
156,04/14/17 04:00:00 AM,29.853,0
157,04/14/17 06:00:00 AM,29.752,0
158,04/14/17 08:00:00 AM,29.652,1130.2
159,04/14/17 10:00:00 AM,29.652,1065.6
160,04/14/17 12:00:00 PM,29.853,4822.3
161,04/14/17 02:00:00 PM,30.054,3616.7
162,04/14/17 04:00:00 PM,29.752,1280.9
163,04/14/17 06:00:00 PM,29.652,10.8
164,04/14/17 08:00:00 PM,29.752,0
165,04/14/17 10:00:00 PM,29.752,0
166,04/15/17 12:00:00 AM,29.652,0
167,04/15/17 02:00:00 AM,29.652,0
168,04/15/17 04:00:00 AM,29.853,0
169,04/15/17 06:00:00 AM,29.752,0
170,04/15/17 08:00:00 AM,29.752,871.9
171,04/15/17 10:00:00 AM,29.953,3100
172,04/15/17 12:00:00 PM,29.953,5166.7
173,04/15/17 02:00:00 PM,29.853,3616.7
174,04/15/17 04:00:00 PM,29.853,1108.7
175,04/15/17 06:00:00 PM,29.853,32.3
176,04/15/17 08:00:00 PM,29.853,0
177,04/15/17 10:00:00 PM,29.853,0
178,04/16/17 12:00:00 AM,29.853,0
179,04/16/17 02:00:00 AM,29.953,0
