Plot Title: 20065909,,,
#,"Date Time, GMT+05:00","Temp, øC (LGR S/N: 20065909, SEN S/N: 20065909)","Intensity, Lux (LGR S/N: 20065909, SEN S/N: 20065909)"
70,04/07/2017 00:00,29.352,0
71,04/07/2017 02:00,29.352,0
72,04/07/2017 04:00,29.352,0
73,04/07/2017 06:00,29.352,0
74,04/07/2017 08:00,29.352,710.4
75,04/07/2017 10:00,29.552,2411.1
76,04/07/2017 12:00,29.552,3272.2
77,04/07/2017 14:00,29.552,1270.1
78,04/07/2017 16:00,29.552,419.8
79,04/07/2017 18:00,29.552,32.3
80,04/07/2017 20:00,29.452,0
81,04/07/2017 22:00,29.552,0
82,04/08/2017 00:00,29.552,0
83,04/08/2017 02:00,29.452,0
84,04/08/2017 04:00,29.452,0
85,04/08/2017 06:00,29.452,0
86,04/08/2017 08:00,29.752,807.3
87,04/08/2017 10:00,29.752,2066.7
88,04/08/2017 12:00,29.853,2927.8
89,04/08/2017 14:00,30.154,3272.2
90,04/08/2017 16:00,29.752,64.6
91,04/08/2017 18:00,29.752,43.1
92,04/08/2017 20:00,29.652,0
93,04/08/2017 22:00,29.652,0
94,04/09/2017 00:00,29.752,0
95,04/09/2017 02:00,29.752,0
96,04/09/2017 04:00,29.652,0
97,04/09/2017 06:00,29.552,0
98,04/09/2017 08:00,29.552,818.1
99,04/09/2017 10:00,29.652,2152.8
100,04/09/2017 12:00,29.752,3100
101,04/09/2017 14:00,30.054,3100
102,04/09/2017 16:00,29.953,1194.8
103,04/09/2017 18:00,29.752,53.8
104,04/09/2017 20:00,29.752,0
105,04/09/2017 22:00,29.652,0
106,04/10/2017 00:00,29.752,0
107,04/10/2017 02:00,29.752,0
108,04/10/2017 04:00,29.652,0
109,04/10/2017 06:00,29.552,0
110,04/10/2017 08:00,29.652,764.2
111,04/10/2017 10:00,29.652,2325
112,04/10/2017 12:00,29.853,5166.7
113,04/10/2017 14:00,30.154,4133.4
114,04/10/2017 16:00,30.054,1173.3
115,04/10/2017 18:00,29.853,53.8
116,04/10/2017 20:00,29.853,0
117,04/10/2017 22:00,29.752,0
118,04/11/2017 00:00,29.652,0
119,04/11/2017 02:00,29.752,0
120,04/11/2017 04:00,29.752,0
121,04/11/2017 06:00,29.752,0
122,04/11/2017 08:00,29.652,290.6
123,04/11/2017 10:00,29.652,925.7
124,04/11/2017 12:00,29.953,3616.7
125,04/11/2017 14:00,29.953,1550
126,04/11/2017 16:00,30.054,947.2
127,04/11/2017 18:00,29.853,43.1
128,04/11/2017 20:00,29.953,0
129,04/11/2017 22:00,29.853,0
130,04/12/2017 00:00,29.752,0
131,04/12/2017 02:00,29.752,0
132,04/12/2017 04:00,29.752,0
133,04/12/2017 06:00,29.652,0
134,04/12/2017 08:00,29.652,1162.5
135,04/12/2017 10:00,29.853,3100
136,04/12/2017 12:00,29.953,3272.2
137,04/12/2017 14:00,29.953,2497.2
138,04/12/2017 16:00,29.853,785.8
139,04/12/2017 18:00,29.853,32.3
140,04/12/2017 20:00,29.853,0
141,04/12/2017 22:00,29.853,0
142,04/13/17 12:00:00 AM,29.853,0
143,04/13/17 02:00:00 AM,29.752,0
144,04/13/17 04:00:00 AM,29.853,0
145,04/13/17 06:00:00 AM,29.752,0
146,04/13/17 08:00:00 AM,29.752,958
147,04/13/17 10:00:00 AM,29.853,1808.3
148,04/13/17 12:00:00 PM,29.752,1033.3
149,04/13/17 02:00:00 PM,29.853,2669.5
150,04/13/17 04:00:00 PM,29.853,1097.9
151,04/13/17 06:00:00 PM,29.752,43.1
152,04/13/17 08:00:00 PM,29.752,0
153,04/13/17 10:00:00 PM,29.853,0
154,04/14/17 12:00:00 AM,29.752,0
155,04/14/17 02:00:00 AM,29.853,0
156,04/14/17 04:00:00 AM,29.853,0
157,04/14/17 06:00:00 AM,29.652,0
158,04/14/17 08:00:00 AM,29.652,1076.4
159,04/14/17 10:00:00 AM,29.652,990.3
160,04/14/17 12:00:00 PM,29.752,3616.7
161,04/14/17 02:00:00 PM,30.054,2755.6
162,04/14/17 04:00:00 PM,29.752,645.8
163,04/14/17 06:00:00 PM,29.652,0
164,04/14/17 08:00:00 PM,29.752,0
165,04/14/17 10:00:00 PM,29.752,0
166,04/15/17 12:00:00 AM,29.652,0
167,04/15/17 02:00:00 AM,29.652,0
168,04/15/17 04:00:00 AM,29.853,0
169,04/15/17 06:00:00 AM,29.752,0
170,04/15/17 08:00:00 AM,29.752,667.4
171,04/15/17 10:00:00 AM,29.853,2411.1
172,04/15/17 12:00:00 PM,29.853,2669.5
173,04/15/17 02:00:00 PM,29.853,2066.7
174,04/15/17 04:00:00 PM,29.853,570.5
175,04/15/17 06:00:00 PM,29.752,21.5
