Plot Title: 20046751,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046751, SEN S/N: 20046751, LBL: T (øC))","Intensity, lum/ftý (LGR S/N: 20046751, SEN S/N: 20046751, LBL: light (lux))",Coupler Detached (LGR S/N: 20046751),Coupler Attached (LGR S/N: 20046751),Host Connected (LGR S/N: 20046751),Stopped (LGR S/N: 20046751),End Of File (LGR S/N: 20046751)
644,01/26/17 12:01:49 AM,83.399,0,,,,,
645,01/26/17 12:11:49 AM,83.579,0,,,,,
646,01/26/17 12:21:49 AM,83.579,0,,,,,
647,01/26/17 12:31:49 AM,83.579,0,,,,,
648,01/26/17 12:41:49 AM,83.579,0,,,,,
649,01/26/17 12:51:49 AM,83.757,0,,,,,
650,01/26/17 01:01:49 AM,83.579,0,,,,,
651,01/26/17 01:11:49 AM,83.579,0,,,,,
652,01/26/17 01:21:49 AM,83.579,0,,,,,
653,01/26/17 01:31:49 AM,83.221,0,,,,,
654,01/26/17 01:41:49 AM,83.221,0,,,,,
655,01/26/17 01:51:49 AM,83.399,0,,,,,
656,01/26/17 02:01:49 AM,83.399,0,,,,,
657,01/26/17 02:11:49 AM,83.399,0,,,,,
658,01/26/17 02:21:49 AM,83.579,0,,,,,
659,01/26/17 02:31:49 AM,83.579,0,,,,,
660,01/26/17 02:41:49 AM,83.399,0,,,,,
661,01/26/17 02:51:49 AM,83.399,0,,,,,
662,01/26/17 03:01:49 AM,83.221,0,,,,,
663,01/26/17 03:11:49 AM,83.221,0,,,,,
664,01/26/17 03:21:49 AM,83.399,0,,,,,
665,01/26/17 03:31:49 AM,83.399,0,,,,,
666,01/26/17 03:41:49 AM,83.399,0,,,,,
667,01/26/17 03:51:49 AM,83.399,0,,,,,
668,01/26/17 04:01:49 AM,83.399,0,,,,,
669,01/26/17 04:11:49 AM,83.399,0,,,,,
670,01/26/17 04:21:49 AM,83.399,0,,,,,
671,01/26/17 04:31:49 AM,83.399,0,,,,,
672,01/26/17 04:41:49 AM,83.399,0,,,,,
673,01/26/17 04:51:49 AM,83.399,0,,,,,
674,01/26/17 05:01:49 AM,83.221,0,,,,,
675,01/26/17 05:11:49 AM,83.221,0,,,,,
676,01/26/17 05:21:49 AM,83.221,0,,,,,
677,01/26/17 05:31:49 AM,83.221,0,,,,,
678,01/26/17 05:41:49 AM,83.221,0,,,,,
679,01/26/17 05:51:49 AM,83.221,0,,,,,
680,01/26/17 06:01:49 AM,83.221,0,,,,,
681,01/26/17 06:11:49 AM,83.221,0,,,,,
682,01/26/17 06:21:49 AM,83.221,0,,,,,
683,01/26/17 06:31:49 AM,83.221,0,,,,,
684,01/26/17 06:41:49 AM,83.221,3,,,,,
685,01/26/17 06:51:49 AM,83.221,6,,,,,
686,01/26/17 07:01:49 AM,83.221,5,,,,,
687,01/26/17 07:11:49 AM,83.221,3,,,,,
688,01/26/17 07:21:49 AM,83.221,5,,,,,
689,01/26/17 07:31:49 AM,83.221,13,,,,,
690,01/26/17 07:41:49 AM,83.221,11,,,,,
691,01/26/17 07:51:49 AM,83.221,11,,,,,
692,01/26/17 08:01:49 AM,83.221,8,,,,,
693,01/26/17 08:11:49 AM,83.221,14,,,,,
694,01/26/17 08:21:49 AM,83.221,8,,,,,
695,01/26/17 08:31:49 AM,83.221,21,,,,,
696,01/26/17 08:41:49 AM,83.221,23,,,,,
697,01/26/17 08:51:49 AM,83.221,27,,,,,
698,01/26/17 09:01:49 AM,83.221,30,,,,,
699,01/26/17 09:11:49 AM,83.221,32,,,,,
700,01/26/17 09:21:49 AM,83.221,35,,,,,
701,01/26/17 09:31:49 AM,83.221,43,,,,,
702,01/26/17 09:41:49 AM,83.221,46,,,,,
703,01/26/17 09:51:49 AM,83.221,60,,,,,
704,01/26/17 10:01:49 AM,83.399,79,,,,,
705,01/26/17 10:11:49 AM,83.399,91,,,,,
706,01/26/17 10:21:49 AM,83.399,102,,,,,
707,01/26/17 10:31:49 AM,83.399,112,,,,,
708,01/26/17 10:41:49 AM,83.399,118,,,,,
709,01/26/17 10:51:49 AM,83.399,116,,,,,
710,01/26/17 11:01:49 AM,83.579,120,,,,,
711,01/26/17 11:11:49 AM,83.579,117,,,,,
712,01/26/17 11:21:49 AM,83.221,49,,,,,
713,01/26/17 11:31:49 AM,83.399,93,,,,,
714,01/26/17 11:41:49 AM,83.579,117,,,,,
715,01/26/17 11:51:49 AM,83.579,127,,,,,
716,01/26/17 12:01:49 PM,83.757,136,,,,,
717,01/26/17 12:11:49 PM,83.757,160,,,,,
718,01/26/17 12:21:49 PM,83.579,168,,,,,
719,01/26/17 12:31:49 PM,83.399,168,,,,,
720,01/26/17 12:41:49 PM,83.579,272,,,,,
721,01/26/17 12:51:49 PM,83.399,240,,,,,
722,01/26/17 01:01:49 PM,83.579,224,,,,,
723,01/26/17 01:11:49 PM,83.399,216,,,,,
724,01/26/17 01:21:49 PM,83.399,176,,,,,
725,01/26/17 01:31:49 PM,83.399,480,,,,,
726,01/26/17 01:41:49 PM,83.399,224,,,,,
727,01/26/17 01:51:49 PM,83.399,320,,,,,
728,01/26/17 02:01:49 PM,83.221,480,,,,,
729,01/26/17 02:11:49 PM,83.399,704,,,,,
730,01/26/17 02:21:49 PM,83.399,256,,,,,
731,01/26/17 02:31:49 PM,83.579,192,,,,,
732,01/26/17 02:41:49 PM,83.399,160,,,,,
733,01/26/17 02:51:49 PM,83.757,144,,,,,
734,01/26/17 03:01:49 PM,83.579,128,,,,,
735,01/26/17 03:11:49 PM,83.399,168,,,,,
736,01/26/17 03:21:49 PM,83.399,232,,,,,
737,01/26/17 03:31:49 PM,83.221,91,,,,,
738,01/26/17 03:41:49 PM,83.399,112,,,,,
739,01/26/17 03:51:49 PM,83.399,99,,,,,
740,01/26/17 04:01:49 PM,83.399,82,,,,,
741,01/26/17 04:11:49 PM,83.399,72,,,,,
742,01/26/17 04:21:49 PM,83.221,62,,,,,
743,01/26/17 04:31:49 PM,83.399,63,,,,,
744,01/26/17 04:41:49 PM,83.221,54,,,,,
745,01/26/17 04:51:49 PM,83.399,52,,,,,
746,01/26/17 05:01:49 PM,83.221,74,,,,,
747,01/26/17 05:11:49 PM,83.221,39,,,,,
748,01/26/17 05:21:49 PM,83.043,18,,,,,
749,01/26/17 05:31:49 PM,83.221,12,,,,,
750,01/26/17 05:41:49 PM,83.043,13,,,,,
751,01/26/17 05:51:49 PM,83.221,8,,,,,
752,01/26/17 06:01:49 PM,83.221,3,,,,,
753,01/26/17 06:11:49 PM,83.043,1,,,,,
754,01/26/17 06:21:49 PM,83.043,0,,,,,
755,01/26/17 06:31:49 PM,83.043,0,,,,,
756,01/26/17 06:41:49 PM,83.043,0,,,,,
757,01/26/17 06:51:49 PM,83.043,0,,,,,
758,01/26/17 07:01:49 PM,83.043,0,,,,,
759,01/26/17 07:11:49 PM,83.043,0,,,,,
760,01/26/17 07:21:49 PM,83.043,0,,,,,
761,01/26/17 07:31:49 PM,82.864,0,,,,,
762,01/26/17 07:41:49 PM,82.864,0,,,,,
763,01/26/17 07:51:49 PM,82.864,0,,,,,
764,01/26/17 08:01:49 PM,82.864,0,,,,,
765,01/26/17 08:11:49 PM,83.043,0,,,,,
766,01/26/17 08:21:49 PM,82.864,0,,,,,
767,01/26/17 08:31:49 PM,82.864,0,,,,,
768,01/26/17 08:41:49 PM,82.864,0,,,,,
769,01/26/17 08:51:49 PM,82.864,0,,,,,
770,01/26/17 09:01:49 PM,82.864,0,,,,,
771,01/26/17 09:11:49 PM,82.864,0,,,,,
772,01/26/17 09:21:49 PM,82.864,0,,,,,
773,01/26/17 09:31:49 PM,82.864,0,,,,,
774,01/26/17 09:41:49 PM,82.864,0,,,,,
775,01/26/17 09:51:49 PM,82.864,0,,,,,
776,01/26/17 10:01:49 PM,82.864,0,,,,,
777,01/26/17 10:11:49 PM,82.864,0,,,,,
778,01/26/17 10:21:49 PM,82.864,0,,,,,
779,01/26/17 10:31:49 PM,82.864,0,,,,,
780,01/26/17 10:41:49 PM,82.864,0,,,,,
781,01/26/17 10:51:49 PM,83.043,0,,,,,
782,01/26/17 11:01:49 PM,83.043,0,,,,,
783,01/26/17 11:11:49 PM,82.864,0,,,,,
784,01/26/17 11:21:49 PM,83.043,0,,,,,
785,01/26/17 11:31:49 PM,82.864,0,,,,,
786,01/26/17 11:41:49 PM,82.864,0,,,,,
787,01/26/17 11:51:49 PM,82.864,0,,,,,
788,01/27/17 12:01:49 AM,82.864,0,,,,,
789,01/27/17 12:11:49 AM,82.864,0,,,,,
790,01/27/17 12:21:49 AM,82.864,0,,,,,
791,01/27/17 12:31:49 AM,82.864,0,,,,,
792,01/27/17 12:41:49 AM,82.864,0,,,,,
793,01/27/17 12:51:49 AM,82.864,0,,,,,
794,01/27/17 01:01:49 AM,82.864,0,,,,,
795,01/27/17 01:11:49 AM,82.864,0,,,,,
796,01/27/17 01:21:49 AM,83.043,0,,,,,
797,01/27/17 01:31:49 AM,82.864,0,,,,,
798,01/27/17 01:41:49 AM,82.864,0,,,,,
799,01/27/17 01:51:49 AM,82.864,0,,,,,
800,01/27/17 02:01:49 AM,82.864,0,,,,,
801,01/27/17 02:11:49 AM,82.864,0,,,,,
802,01/27/17 02:21:49 AM,82.864,0,,,,,
803,01/27/17 02:31:49 AM,82.864,0,,,,,
804,01/27/17 02:41:49 AM,82.864,0,,,,,
805,01/27/17 02:51:49 AM,82.864,0,,,,,
806,01/27/17 03:01:49 AM,82.864,0,,,,,
807,01/27/17 03:11:49 AM,82.864,0,,,,,
808,01/27/17 03:21:49 AM,82.864,0,,,,,
809,01/27/17 03:31:49 AM,82.864,0,,,,,
810,01/27/17 03:41:49 AM,82.864,0,,,,,
811,01/27/17 03:51:49 AM,82.864,0,,,,,
812,01/27/17 04:01:49 AM,82.864,0,,,,,
813,01/27/17 04:11:49 AM,82.864,0,,,,,
814,01/27/17 04:21:49 AM,82.864,0,,,,,
815,01/27/17 04:31:49 AM,82.864,0,,,,,
816,01/27/17 04:41:49 AM,82.864,0,,,,,
817,01/27/17 04:51:49 AM,82.864,0,,,,,
818,01/27/17 05:01:49 AM,82.864,0,,,,,
819,01/27/17 05:11:49 AM,82.864,0,,,,,
820,01/27/17 05:21:49 AM,82.864,0,,,,,
821,01/27/17 05:31:49 AM,82.864,0,,,,,
822,01/27/17 05:41:49 AM,82.864,0,,,,,
823,01/27/17 05:51:49 AM,82.864,0,,,,,
