Plot Title: 20046741,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046741, SEN S/N: 20046741)","Intensity, lum/ftý (LGR S/N: 20046741, SEN S/N: 20046741)",Coupler Detached (LGR S/N: 20046741),Coupler Attached (LGR S/N: 20046741),Host Connected (LGR S/N: 20046741),Stopped (LGR S/N: 20046741),End Of File (LGR S/N: 20046741)
5541,03/01/2017 00:03,83.221,0,,,,,
5542,03/01/2017 00:13,83.221,0,,,,,
5543,03/01/2017 00:23,83.221,0,,,,,
5544,03/01/2017 00:33,83.221,0,,,,,
5545,03/01/2017 00:43,83.221,0,,,,,
5546,03/01/2017 00:53,83.399,0,,,,,
5547,03/01/2017 01:03,83.399,0,,,,,
5548,03/01/2017 01:13,83.221,0,,,,,
5549,03/01/2017 01:23,83.221,0,,,,,
5550,03/01/2017 01:33,83.221,0,,,,,
5551,03/01/2017 01:43,82.864,0,,,,,
5552,03/01/2017 01:53,83.221,0,,,,,
5553,03/01/2017 02:03,83.221,0,,,,,
5554,03/01/2017 02:13,83.043,0,,,,,
5555,03/01/2017 02:23,83.221,0,,,,,
5556,03/01/2017 02:33,83.221,0,,,,,
5557,03/01/2017 02:43,83.221,0,,,,,
5558,03/01/2017 02:53,83.221,0,,,,,
5559,03/01/2017 03:03,83.221,0,,,,,
5560,03/01/2017 03:13,83.221,0,,,,,
5561,03/01/2017 03:23,83.399,0,,,,,
5562,03/01/2017 03:33,83.399,0,,,,,
5563,03/01/2017 03:43,83.399,0,,,,,
5564,03/01/2017 03:53,83.399,0,,,,,
5565,03/01/2017 04:03,83.221,0,,,,,
5566,03/01/2017 04:13,83.221,0,,,,,
5567,03/01/2017 04:23,83.221,0,,,,,
5568,03/01/2017 04:33,83.221,0,,,,,
5569,03/01/2017 04:43,83.221,0,,,,,
5570,03/01/2017 04:53,83.221,0,,,,,
5571,03/01/2017 05:03,83.221,0,,,,,
5572,03/01/2017 05:13,83.221,0,,,,,
5573,03/01/2017 05:23,83.221,0,,,,,
5574,03/01/2017 05:33,83.221,0,,,,,
5575,03/01/2017 05:43,83.221,0,,,,,
5576,03/01/2017 05:53,83.221,0,,,,,
5577,03/01/2017 06:03,83.221,0,,,,,
5578,03/01/2017 06:13,83.221,0,,,,,
5579,03/01/2017 06:23,83.221,1,,,,,
5580,03/01/2017 06:33,83.221,6,,,,,
5581,03/01/2017 06:43,83.221,9,,,,,
5582,03/01/2017 06:53,83.221,10,,,,,
5583,03/01/2017 07:03,83.221,17,,,,,
5584,03/01/2017 07:13,83.043,22,,,,,
5585,03/01/2017 07:23,83.043,27,,,,,
5586,03/01/2017 07:33,83.043,35,,,,,
5587,03/01/2017 07:43,83.043,53,,,,,
5588,03/01/2017 07:53,83.043,68,,,,,
5589,03/01/2017 08:03,83.043,68,,,,,
5590,03/01/2017 08:13,83.043,72,,,,,
5591,03/01/2017 08:23,83.043,73,,,,,
5592,03/01/2017 08:33,82.864,72,,,,,
5593,03/01/2017 08:43,82.864,77,,,,,
5594,03/01/2017 08:53,82.864,79,,,,,
5595,03/01/2017 09:03,82.864,87,,,,,
5596,03/01/2017 09:13,82.864,102,,,,,
5597,03/01/2017 09:23,82.864,103,,,,,
5598,03/01/2017 09:33,82.864,104,,,,,
5599,03/01/2017 09:43,82.864,119,,,,,
5600,03/01/2017 09:53,82.864,128,,,,,
5601,03/01/2017 10:03,82.864,136,,,,,
5602,03/01/2017 10:13,83.043,144,,,,,
5603,03/01/2017 10:23,83.043,152,,,,,
5604,03/01/2017 10:33,83.043,144,,,,,
5605,03/01/2017 10:43,83.043,144,,,,,
5606,03/01/2017 10:53,82.864,144,,,,,
5607,03/01/2017 11:03,82.864,144,,,,,
5608,03/01/2017 11:13,82.864,144,,,,,
5609,03/01/2017 11:23,82.864,144,,,,,
5610,03/01/2017 11:33,82.864,152,,,,,
5611,03/01/2017 11:43,82.686,152,,,,,
5612,03/01/2017 11:53,82.864,160,,,,,
5613,03/01/2017 12:03,82.864,168,,,,,
5614,03/01/2017 12:13,82.864,168,,,,,
5615,03/01/2017 12:23,82.686,160,,,,,
5616,03/01/2017 12:33,82.686,144,,,,,
5617,03/01/2017 12:43,82.686,152,,,,,
5618,03/01/2017 12:53,82.686,128,,,,,
5619,03/01/2017 13:03,82.686,125,,,,,
5620,03/01/2017 13:13,82.686,144,,,,,
5621,03/01/2017 13:23,82.686,152,,,,,
5622,03/01/2017 13:33,82.864,144,,,,,
5623,03/01/2017 13:43,82.33,152,,,,,
5624,03/01/2017 13:53,82.33,168,,,,,
5625,03/01/2017 14:03,82.864,117,,,,,
5626,03/01/2017 14:13,82.508,106,,,,,
5627,03/01/2017 14:23,82.686,124,,,,,
5628,03/01/2017 14:33,82.864,128,,,,,
5629,03/01/2017 14:43,83.043,152,,,,,
5630,03/01/2017 14:53,83.043,152,,,,,
5631,03/01/2017 15:03,83.221,128,,,,,
5632,03/01/2017 15:13,83.221,176,,,,,
5633,03/01/2017 15:23,83.043,168,,,,,
5634,03/01/2017 15:33,83.043,126,,,,,
5635,03/01/2017 15:43,83.399,112,,,,,
5636,03/01/2017 15:53,83.399,86,,,,,
5637,03/01/2017 16:03,83.221,67,,,,,
5638,03/01/2017 16:13,83.221,59,,,,,
5639,03/01/2017 16:23,83.221,53,,,,,
5640,03/01/2017 16:33,83.221,49,,,,,
5641,03/01/2017 16:43,83.221,43,,,,,
5642,03/01/2017 16:53,83.221,45,,,,,
5643,03/01/2017 17:03,83.221,35,,,,,
5644,03/01/2017 17:13,83.221,34,,,,,
5645,03/01/2017 17:23,83.399,25,,,,,
