Plot Title: 20065911,,,
#,"Date Time, GMT+05:00","Temp, °C (LGR S/N: 20065911, SEN S/N: 20065911)","Intensity, Lux (LGR S/N: 20065911, SEN S/N: 20065911)"
3094,12/15/17 12:00:00 AM,29.053,0
3095,12/15/17 02:00:00 AM,29.152,0
3096,12/15/17 04:00:00 AM,29.152,0
3097,12/15/17 06:00:00 AM,29.053,0
3098,12/15/17 08:00:00 AM,29.053,172.2
3099,12/15/17 10:00:00 AM,29.252,570.5
3100,12/15/17 12:00:00 PM,29.352,376.7
3101,12/15/17 02:00:00 PM,29.352,495.1
3102,12/15/17 04:00:00 PM,29.352,193.8
3103,12/15/17 06:00:00 PM,29.352,10.8
3104,12/15/17 08:00:00 PM,29.352,0
3105,12/15/17 10:00:00 PM,29.252,0
3106,12/16/17 12:00:00 AM,28.853,0
3107,12/16/17 02:00:00 AM,28.953,0
3108,12/16/17 04:00:00 AM,28.953,0
3109,12/16/17 06:00:00 AM,28.953,0
3110,12/16/17 08:00:00 AM,28.953,107.6
3111,12/16/17 10:00:00 AM,28.953,226
3112,12/16/17 12:00:00 PM,29.252,473.6
3113,12/16/17 02:00:00 PM,29.252,247.6
3114,12/16/17 04:00:00 PM,29.252,118.4
3115,12/16/17 06:00:00 PM,29.152,0
3116,12/16/17 08:00:00 PM,29.053,0
3117,12/16/17 10:00:00 PM,28.754,0
3118,12/17/17 12:00:00 AM,28.754,0
3119,12/17/17 02:00:00 AM,28.853,0
3120,12/17/17 04:00:00 AM,28.853,0
3121,12/17/17 06:00:00 AM,28.754,0
3122,12/17/17 08:00:00 AM,28.754,53.8
3123,12/17/17 10:00:00 AM,28.754,290.6
3124,12/17/17 12:00:00 PM,28.953,678.1
3125,12/17/17 02:00:00 PM,29.152,247.6
3126,12/17/17 04:00:00 PM,28.953,215.3
3127,12/17/17 06:00:00 PM,28.853,0
3128,12/17/17 08:00:00 PM,28.853,0
3129,12/17/17 10:00:00 PM,28.853,0
3130,12/18/17 12:00:00 AM,28.754,0
3131,12/18/17 02:00:00 AM,28.754,0
3132,12/18/17 04:00:00 AM,28.754,0
3133,12/18/17 06:00:00 AM,28.754,0
3134,12/18/17 08:00:00 AM,28.754,0
3135,12/18/17 10:00:00 AM,28.853,118.4
3136,12/18/17 12:00:00 PM,28.853,172.2
3137,12/18/17 02:00:00 PM,29.053,387.5
3138,12/18/17 04:00:00 PM,29.053,204.5
3139,12/18/17 06:00:00 PM,28.953,0
3140,12/18/17 08:00:00 PM,28.853,0
3141,12/18/17 10:00:00 PM,28.853,0
3142,12/19/17 12:00:00 AM,28.655,0
3143,12/19/17 02:00:00 AM,28.159,0
3144,12/19/17 04:00:00 AM,28.555,0
3145,12/19/17 06:00:00 AM,28.456,0
3146,12/19/17 08:00:00 AM,28.06,107.6
3147,12/19/17 10:00:00 AM,27.961,312.2
3148,12/19/17 12:00:00 PM,27.862,419.8
3149,12/19/17 02:00:00 PM,28.159,462.9
3150,12/19/17 04:00:00 PM,28.853,258.3
3151,12/19/17 06:00:00 PM,28.159,0
3152,12/19/17 08:00:00 PM,28.06,0
3153,12/19/17 10:00:00 PM,27.961,0
3154,12/20/17 12:00:00 AM,28.159,0
3155,12/20/17 02:00:00 AM,28.06,0
3156,12/20/17 04:00:00 AM,28.06,0
3157,12/20/17 06:00:00 AM,28.06,0
3158,12/20/17 08:00:00 AM,28.159,118.4
3159,12/20/17 10:00:00 AM,28.06,301.4
3160,12/20/17 12:00:00 PM,28.258,473.6
3161,12/20/17 02:00:00 PM,28.357,462.9
3162,12/20/17 04:00:00 PM,28.853,172.2
3163,12/20/17 06:00:00 PM,28.655,0
3164,12/20/17 08:00:00 PM,28.456,0
3165,12/20/17 10:00:00 PM,28.357,0
3166,12/21/17 12:00:00 AM,28.456,0
3167,12/21/17 02:00:00 AM,28.456,0
3168,12/21/17 04:00:00 AM,28.456,0
3169,12/21/17 06:00:00 AM,28.555,0
3170,12/21/17 08:00:00 AM,28.555,150.7
3171,12/21/17 10:00:00 AM,28.655,409
3172,12/21/17 12:00:00 PM,28.555,204.5
3173,12/21/17 02:00:00 PM,28.655,118.4
3174,12/21/17 04:00:00 PM,28.953,129.2
3175,12/21/17 06:00:00 PM,28.853,0
3176,12/21/17 08:00:00 PM,28.655,0
3177,12/21/17 10:00:00 PM,28.655,0
3178,12/22/17 12:00:00 AM,28.456,0
3179,12/22/17 02:00:00 AM,28.555,0
3180,12/22/17 04:00:00 AM,28.456,0
3181,12/22/17 06:00:00 AM,28.357,0
3182,12/22/17 08:00:00 AM,28.456,53.8
3183,12/22/17 10:00:00 AM,28.456,279.9
3184,12/22/17 12:00:00 PM,28.456,344.4
3185,12/22/17 02:00:00 PM,28.456,312.2
3186,12/22/17 04:00:00 PM,28.456,118.4
3187,12/22/17 06:00:00 PM,28.555,0
3188,12/22/17 08:00:00 PM,28.555,0
3189,12/22/17 10:00:00 PM,28.555,0
3190,12/23/17 12:00:00 AM,28.555,0
3191,12/23/17 02:00:00 AM,28.555,0
3192,12/23/17 04:00:00 AM,28.555,0
3193,12/23/17 06:00:00 AM,28.754,0
3194,12/23/17 08:00:00 AM,28.853,75.3
3195,12/23/17 10:00:00 AM,28.853,139.9
3196,12/23/17 12:00:00 PM,28.853,96.9
3197,12/23/17 02:00:00 PM,28.754,53.8
3198,12/23/17 04:00:00 PM,28.953,107.6
3199,12/23/17 06:00:00 PM,28.953,10.8
3200,12/23/17 08:00:00 PM,28.853,0
3201,12/23/17 10:00:00 PM,28.754,0
3202,12/24/17 12:00:00 AM,28.655,0
3203,12/24/17 02:00:00 AM,28.754,0
3204,12/24/17 04:00:00 AM,28.655,0
3205,12/24/17 06:00:00 AM,28.655,0
3206,12/24/17 08:00:00 AM,28.655,21.5
3207,12/24/17 10:00:00 AM,28.754,43.1
3208,12/24/17 12:00:00 PM,28.655,75.3
3209,12/24/17 02:00:00 PM,28.655,312.2
3210,12/24/17 04:00:00 PM,28.853,172.2
3211,12/24/17 06:00:00 PM,28.853,0
3212,12/24/17 08:00:00 PM,28.754,0
3213,12/24/17 10:00:00 PM,28.754,0
3214,12/25/17 12:00:00 AM,28.754,0
3215,12/25/17 02:00:00 AM,28.754,0
3216,12/25/17 04:00:00 AM,28.754,0
3217,12/25/17 06:00:00 AM,28.754,0
3218,12/25/17 08:00:00 AM,28.754,150.7
3219,12/25/17 10:00:00 AM,28.754,430.6
3220,12/25/17 12:00:00 PM,28.853,581.3
3221,12/25/17 02:00:00 PM,28.853,398.3
3222,12/25/17 04:00:00 PM,28.754,183
3223,12/25/17 06:00:00 PM,29.053,10.8
3224,12/25/17 08:00:00 PM,28.953,0
3225,12/25/17 10:00:00 PM,28.853,0
3226,12/26/17 12:00:00 AM,28.754,0
3227,12/26/17 02:00:00 AM,28.754,0
3228,12/26/17 04:00:00 AM,28.655,0
3229,12/26/17 06:00:00 AM,28.655,0
3230,12/26/17 08:00:00 AM,28.754,161.5
3231,12/26/17 10:00:00 AM,28.754,409
3232,12/26/17 12:00:00 PM,28.754,452.1
3233,12/26/17 02:00:00 PM,28.754,344.4
3234,12/26/17 04:00:00 PM,28.655,129.2
3235,12/26/17 06:00:00 PM,28.655,0
3236,12/26/17 08:00:00 PM,28.754,0
3237,12/26/17 10:00:00 PM,28.754,0
3238,12/27/17 12:00:00 AM,28.655,0
3239,12/27/17 02:00:00 AM,28.655,0
3240,12/27/17 04:00:00 AM,28.754,0
3241,12/27/17 06:00:00 AM,28.357,0
3242,12/27/17 08:00:00 AM,28.754,107.6
3243,12/27/17 10:00:00 AM,28.555,312.2
3244,12/27/17 12:00:00 PM,28.555,355.2
3245,12/27/17 02:00:00 PM,28.357,53.8
3246,12/27/17 04:00:00 PM,28.357,43.1
3247,12/27/17 06:00:00 PM,28.357,0
3248,12/27/17 08:00:00 PM,28.853,0
3249,12/27/17 10:00:00 PM,28.754,0
3250,12/28/17 12:00:00 AM,28.655,0
3251,12/28/17 02:00:00 AM,28.555,0
3252,12/28/17 04:00:00 AM,28.357,0
3253,12/28/17 06:00:00 AM,28.456,0
3254,12/28/17 08:00:00 AM,28.754,193.8
3255,12/28/17 10:00:00 AM,28.456,419.8
3256,12/28/17 12:00:00 PM,28.555,678.1
3257,12/28/17 02:00:00 PM,28.357,462.9
