Plot Title: 20046743,,,,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 20046743, SEN S/N: 20046743)","Intensity, lum/ftý (LGR S/N: 20046743, SEN S/N: 20046743)",Coupler Detached (LGR S/N: 20046743),Coupler Attached (LGR S/N: 20046743),Host Connected (LGR S/N: 20046743),Stopped (LGR S/N: 20046743),End Of File (LGR S/N: 20046743)
5540,03/01/2017 00:03,83.757,0,,,,,
5541,03/01/2017 00:13,83.757,0,,,,,
5542,03/01/2017 00:23,83.757,0,,,,,
5543,03/01/2017 00:33,83.757,0,,,,,
5544,03/01/2017 00:43,83.757,0,,,,,
5545,03/01/2017 00:53,83.757,0,,,,,
5546,03/01/2017 01:03,83.757,0,,,,,
5547,03/01/2017 01:13,83.579,0,,,,,
5548,03/01/2017 01:23,83.579,0,,,,,
5549,03/01/2017 01:33,83.579,0,,,,,
5550,03/01/2017 01:43,83.579,0,,,,,
5551,03/01/2017 01:53,83.399,0,,,,,
5552,03/01/2017 02:03,83.399,0,,,,,
5553,03/01/2017 02:13,83.399,0,,,,,
5554,03/01/2017 02:23,83.399,0,,,,,
5555,03/01/2017 02:33,83.399,0,,,,,
5556,03/01/2017 02:43,83.399,0,,,,,
5557,03/01/2017 02:53,83.399,0,,,,,
5558,03/01/2017 03:03,83.399,0,,,,,
5559,03/01/2017 03:13,83.399,0,,,,,
5560,03/01/2017 03:23,83.399,0,,,,,
5561,03/01/2017 03:33,83.399,0,,,,,
5562,03/01/2017 03:43,83.399,0,,,,,
5563,03/01/2017 03:53,83.399,0,,,,,
5564,03/01/2017 04:03,83.399,0,,,,,
5565,03/01/2017 04:13,83.399,0,,,,,
5566,03/01/2017 04:23,83.399,0,,,,,
5567,03/01/2017 04:33,83.399,0,,,,,
5568,03/01/2017 04:43,83.399,0,,,,,
5569,03/01/2017 04:53,83.221,0,,,,,
5570,03/01/2017 05:03,83.221,0,,,,,
5571,03/01/2017 05:13,83.221,0,,,,,
5572,03/01/2017 05:23,83.221,0,,,,,
5573,03/01/2017 05:33,83.221,0,,,,,
5574,03/01/2017 05:43,83.043,0,,,,,
5575,03/01/2017 05:53,83.221,0,,,,,
5576,03/01/2017 06:03,83.221,0,,,,,
5577,03/01/2017 06:13,83.043,0,,,,,
5578,03/01/2017 06:23,83.043,4,,,,,
5579,03/01/2017 06:33,83.221,15,,,,,
5580,03/01/2017 06:43,83.221,22,,,,,
5581,03/01/2017 06:53,83.221,27,,,,,
5582,03/01/2017 07:03,83.043,49,,,,,
5583,03/01/2017 07:13,83.043,64,,,,,
5584,03/01/2017 07:23,83.043,78,,,,,
5585,03/01/2017 07:33,82.864,102,,,,,
5586,03/01/2017 07:43,82.864,152,,,,,
5587,03/01/2017 07:53,83.043,192,,,,,
5588,03/01/2017 08:03,82.864,192,,,,,
5589,03/01/2017 08:13,83.043,184,,,,,
5590,03/01/2017 08:23,82.864,192,,,,,
5591,03/01/2017 08:33,83.043,200,,,,,
5592,03/01/2017 08:43,83.043,208,,,,,
5593,03/01/2017 08:53,83.043,216,,,,,
5594,03/01/2017 09:03,83.221,240,,,,,
5595,03/01/2017 09:13,83.221,272,,,,,
5596,03/01/2017 09:23,83.221,272,,,,,
5597,03/01/2017 09:33,83.221,288,,,,,
5598,03/01/2017 09:43,83.221,320,,,,,
5599,03/01/2017 09:53,83.221,384,,,,,
5600,03/01/2017 10:03,83.221,400,,,,,
5601,03/01/2017 10:13,83.399,448,,,,,
5602,03/01/2017 10:23,83.399,448,,,,,
5603,03/01/2017 10:33,83.399,448,,,,,
5604,03/01/2017 10:43,83.399,432,,,,,
5605,03/01/2017 10:53,83.399,432,,,,,
5606,03/01/2017 11:03,83.399,464,,,,,
5607,03/01/2017 11:13,83.221,448,,,,,
5608,03/01/2017 11:23,83.221,448,,,,,
5609,03/01/2017 11:33,83.399,464,,,,,
5610,03/01/2017 11:43,83.399,480,,,,,
5611,03/01/2017 11:53,83.399,480,,,,,
5612,03/01/2017 12:03,83.399,512,,,,,
5613,03/01/2017 12:13,83.399,512,,,,,
5614,03/01/2017 12:23,83.399,480,,,,,
5615,03/01/2017 12:33,83.399,480,,,,,
5616,03/01/2017 12:43,83.399,496,,,,,
5617,03/01/2017 12:53,83.221,432,,,,,
5618,03/01/2017 13:03,83.221,384,,,,,
5619,03/01/2017 13:13,83.221,480,,,,,
5620,03/01/2017 13:23,83.221,496,,,,,
5621,03/01/2017 13:33,83.221,496,,,,,
5622,03/01/2017 13:43,83.221,480,,,,,
5623,03/01/2017 13:53,83.221,432,,,,,
5624,03/01/2017 14:03,83.043,352,,,,,
5625,03/01/2017 14:13,83.043,352,,,,,
5626,03/01/2017 14:23,83.043,352,,,,,
5627,03/01/2017 14:33,83.221,432,,,,,
5628,03/01/2017 14:43,83.399,384,,,,,
5629,03/01/2017 14:53,83.399,416,,,,,
5630,03/01/2017 15:03,83.399,336,,,,,
5631,03/01/2017 15:13,83.579,464,,,,,
5632,03/01/2017 15:23,83.579,416,,,,,
5633,03/01/2017 15:33,83.399,256,,,,,
5634,03/01/2017 15:43,83.399,208,,,,,
5635,03/01/2017 15:53,83.399,192,,,,,
5636,03/01/2017 16:03,83.399,152,,,,,
5637,03/01/2017 16:13,83.399,128,,,,,
5638,03/01/2017 16:23,83.399,112,,,,,
5639,03/01/2017 16:33,83.399,110,,,,,
5640,03/01/2017 16:43,83.399,117,,,,,
5641,03/01/2017 16:53,83.221,111,,,,,
5642,03/01/2017 17:03,83.221,95,,,,,
5643,03/01/2017 17:13,83.221,78,,,,,
5644,03/01/2017 17:23,83.221,62,,,,,
5645,03/01/2017 17:33,83.221,57,,,,,
5646,03/01/2017 17:43,83.221,40,,,,,
5647,03/01/2017 17:53,83.399,21,,,,,
5648,03/01/2017 18:03,83.399,11,,,,,
5649,03/01/2017 18:13,83.399,4,,,,,
5650,03/01/2017 18:23,83.399,0,,,,,
5651,03/01/2017 18:33,83.579,0,,,,,
5652,03/01/2017 18:43,83.399,0,,,,,
5653,03/01/2017 18:53,83.399,0,,,,,
5654,03/01/2017 19:03,83.221,0,,,,,
5655,03/01/2017 19:13,83.221,0,,,,,
5656,03/01/2017 19:23,83.399,0,,,,,
5657,03/01/2017 19:33,83.221,0,,,,,
5658,03/01/2017 19:43,83.221,0,,,,,
5659,03/01/2017 19:53,83.221,0,,,,,
5660,03/01/2017 20:03,83.221,0,,,,,
5661,03/01/2017 20:13,83.043,0,,,,,
5662,03/01/2017 20:23,83.221,0,,,,,
5663,03/01/2017 20:33,83.043,0,,,,,
5664,03/01/2017 20:43,83.043,0,,,,,
5665,03/01/2017 20:53,83.043,0,,,,,
5666,03/01/2017 21:03,83.043,0,,,,,
5667,03/01/2017 21:13,83.043,0,,,,,
5668,03/01/2017 21:23,83.221,0,,,,,
5669,03/01/2017 21:33,83.043,0,,,,,
5670,03/01/2017 21:43,83.043,0,,,,,
5671,03/01/2017 21:53,83.043,0,,,,,
5672,03/01/2017 22:03,83.043,0,,,,,
5673,03/01/2017 22:13,83.043,0,,,,,
5674,03/01/2017 22:23,83.043,0,,,,,
5675,03/01/2017 22:33,83.043,0,,,,,
5676,03/01/2017 22:43,83.043,0,,,,,
5677,03/01/2017 22:53,83.043,0,,,,,
5678,03/01/2017 23:03,83.043,0,,,,,
5679,03/01/2017 23:13,83.043,0,,,,,
5680,03/01/2017 23:23,83.043,0,,,,,
5681,03/01/2017 23:33,83.043,0,,,,,
5682,03/01/2017 23:43,83.043,0,,,,,
5683,03/01/2017 23:53,83.043,0,,,,,
5684,03/02/2017 00:03,82.864,0,,,,,
5685,03/02/2017 00:13,82.686,0,,,,,
5686,03/02/2017 00:23,82.686,0,,,,,
5687,03/02/2017 00:33,82.864,0,,,,,
5688,03/02/2017 00:43,82.864,0,,,,,
5689,03/02/2017 00:53,82.864,0,,,,,
5690,03/02/2017 01:03,82.864,0,,,,,
5691,03/02/2017 01:13,82.864,0,,,,,
5692,03/02/2017 01:23,82.864,0,,,,,
5693,03/02/2017 01:33,82.686,0,,,,,
5694,03/02/2017 01:43,82.686,0,,,,,
5695,03/02/2017 01:53,82.864,0,,,,,
5696,03/02/2017 02:03,83.043,0,,,,,
5697,03/02/2017 02:13,82.864,0,,,,,
5698,03/02/2017 02:23,83.399,0,,,,,
5699,03/02/2017 02:33,83.399,0,,,,,
5700,03/02/2017 02:43,83.399,0,,,,,
5701,03/02/2017 02:53,83.399,0,,,,,
5702,03/02/2017 03:03,83.221,0,,,,,
5703,03/02/2017 03:13,83.579,0,,,,,
5704,03/02/2017 03:23,83.399,0,,,,,
5705,03/02/2017 03:33,83.043,0,,,,,
5706,03/02/2017 03:43,83.579,0,,,,,
5707,03/02/2017 03:53,83.579,0,,,,,
5708,03/02/2017 04:03,83.579,0,,,,,
5709,03/02/2017 04:13,83.579,0,,,,,
5710,03/02/2017 04:23,83.579,0,,,,,
5711,03/02/2017 04:33,83.757,0,,,,,
5712,03/02/2017 04:43,83.757,0,,,,,
5713,03/02/2017 04:53,83.757,0,,,,,
5714,03/02/2017 05:03,83.757,0,,,,,
5715,03/02/2017 05:13,83.757,0,,,,,
5716,03/02/2017 05:23,83.757,0,,,,,
5717,03/02/2017 05:33,83.757,0,,,,,
5718,03/02/2017 05:43,83.757,0,,,,,
5719,03/02/2017 05:53,83.757,0,,,,,
5720,03/02/2017 06:03,83.757,0,,,,,
5721,03/02/2017 06:13,83.757,0,,,,,
5722,03/02/2017 06:23,83.757,5,,,,,
5723,03/02/2017 06:33,83.757,21,,,,,
5724,03/02/2017 06:43,83.757,58,,,,,
5725,03/02/2017 06:53,83.757,79,,,,,
5726,03/02/2017 07:03,83.579,74,,,,,
5727,03/02/2017 07:13,83.579,128,,,,,
5728,03/02/2017 07:23,83.579,176,,,,,
5729,03/02/2017 07:33,83.757,224,,,,,
5730,03/02/2017 07:43,83.757,320,,,,,
5731,03/02/2017 07:53,83.757,400,,,,,
5732,03/02/2017 08:03,83.579,336,,,,,
5733,03/02/2017 08:13,83.579,384,,,,,
5734,03/02/2017 08:23,83.579,464,,,,,
5735,03/02/2017 08:33,83.757,672,,,,,
5736,03/02/2017 08:43,83.935,864,,,,,
5737,03/02/2017 08:53,84.115,864,,,,,
5738,03/02/2017 09:03,84.115,800,,,,,
5739,03/02/2017 09:13,84.115,864,,,,,
5740,03/02/2017 09:23,84.295,960,,,,,
5741,03/02/2017 09:33,84.295,1472,,,,,
5742,03/02/2017 09:43,84.654,1152,,,,,
5743,03/02/2017 09:53,84.654,1344,,,,,
5744,03/02/2017 10:03,84.474,1408,,,,,
5745,03/02/2017 10:13,84.474,1728,,,,,
5746,03/02/2017 10:23,84.654,1600,,,,,
5747,03/02/2017 10:33,84.654,1152,,,,,
5748,03/02/2017 10:43,84.654,2304,,,,,
5749,03/02/2017 10:53,84.834,2688,,,,,
5750,03/02/2017 11:03,84.834,2432,,,,,
5751,03/02/2017 11:13,85.014,1536,,,,,
5752,03/02/2017 11:23,85.014,2176,,,,,
5753,03/02/2017 11:33,85.194,2176,,,,,
5754,03/02/2017 11:43,85.014,2304,,,,,
5755,03/02/2017 11:53,85.014,1856,,,,,
5756,03/02/2017 12:03,85.014,576,,,,,
5757,03/02/2017 12:13,85.194,1920,,,,,
5758,03/02/2017 12:23,85.194,1728,,,,,
5759,03/02/2017 12:33,84.834,2304,,,,,
5760,03/02/2017 12:43,85.194,1600,,,,,
5761,03/02/2017 12:53,85.194,1920,,,,,
5762,03/02/2017 13:03,85.374,1920,,,,,
5763,03/02/2017 13:13,85.554,1344,,,,,
5764,03/02/2017 13:23,85.554,1088,,,,,
5765,03/02/2017 13:33,85.194,1344,,,,,
5766,03/02/2017 13:43,85.915,1344,,,,,
5767,03/02/2017 13:53,85.554,1024,,,,,
5768,03/02/2017 14:03,84.654,800,,,,,
5769,03/02/2017 14:13,84.474,992,,,,,
5770,03/02/2017 14:23,85.554,288,,,,,
5771,03/02/2017 14:33,85.374,704,,,,,
5772,03/02/2017 14:43,85.194,1280,,,,,
5773,03/02/2017 14:53,85.554,896,,,,,
5774,03/02/2017 15:03,85.374,704,,,,,
5775,03/02/2017 15:13,85.194,384,,,,,
5776,03/02/2017 15:23,85.014,704,,,,,
5777,03/02/2017 15:33,85.014,768,,,,,
5778,03/02/2017 15:43,84.654,200,,,,,
5779,03/02/2017 15:53,84.654,288,,,,,
5780,03/02/2017 16:03,84.654,224,,,,,
5781,03/02/2017 16:13,84.654,336,,,,,
5782,03/02/2017 16:23,84.654,304,,,,,
5783,03/02/2017 16:33,84.474,272,,,,,
5784,03/02/2017 16:43,84.474,232,,,,,
5785,03/02/2017 16:53,84.474,168,,,,,
5786,03/02/2017 17:03,84.474,192,,,,,
5787,03/02/2017 17:13,84.474,192,,,,,
5788,03/02/2017 17:23,84.474,176,,,,,
5789,03/02/2017 17:33,84.474,136,,,,,
5790,03/02/2017 17:43,84.295,101,,,,,
5791,03/02/2017 17:53,84.295,67,,,,,
5792,03/02/2017 18:03,84.295,36,,,,,
5793,03/02/2017 18:13,84.115,16,,,,,
5794,03/02/2017 18:23,84.115,5,,,,,
5795,03/02/2017 18:33,83.935,0,,,,,
5796,03/02/2017 18:43,83.935,0,,,,,
5797,03/02/2017 18:53,83.935,0,,,,,
5798,03/02/2017 19:03,83.935,0,,,,,
5799,03/02/2017 19:13,83.757,0,,,,,
5800,03/02/2017 19:23,83.757,0,,,,,
5801,03/02/2017 19:33,83.579,0,,,,,
5802,03/02/2017 19:43,83.757,0,,,,,
5803,03/02/2017 19:53,83.579,0,,,,,
