Plot Title: 20277815,,,
#,"Date Time, GMT+00:00","Temp, ¡C (LGR S/N: 20277815, SEN S/N: 20277815)","Intensity, Lux (LGR S/N: 20277815, SEN S/N: 20277815)"
4579,04/05/2018 00:00,30.054,0
4580,04/05/2018 00:10,30.054,0
4581,04/05/2018 00:20,29.953,0
4582,04/05/2018 00:30,30.054,0
4583,04/05/2018 00:40,30.054,0
4584,04/05/2018 00:50,29.953,0
4585,04/05/2018 01:00,29.953,10.8
4586,04/05/2018 01:10,29.953,75.3
4587,04/05/2018 01:20,29.953,215.3
4588,04/05/2018 01:30,30.054,430.6
4589,04/05/2018 01:40,30.054,688.9
4590,04/05/2018 01:50,30.054,1076.4
4591,04/05/2018 02:00,30.054,1302.4
4592,04/05/2018 02:10,30.154,1636.1
4593,04/05/2018 02:20,30.154,2066.7
4594,04/05/2018 02:30,30.154,1980.6
4595,04/05/2018 02:40,30.255,3272.2
4596,04/05/2018 02:50,30.255,2669.5
4597,04/05/2018 03:00,30.255,2411.1
4598,04/05/2018 03:10,30.356,5166.7
4599,04/05/2018 03:20,30.457,5166.7
4600,04/05/2018 03:30,30.457,10333.4
4601,04/05/2018 03:40,30.457,5511.1
4602,04/05/2018 03:50,30.558,6200
4603,04/05/2018 04:00,30.558,7577.8
4604,04/05/2018 04:10,30.659,6544.5
4605,04/05/2018 04:20,30.659,11022.3
4606,04/05/2018 04:30,30.76,10333.4
4607,04/05/2018 04:40,30.76,24800.2
4608,04/05/2018 04:50,30.862,12400.1
4609,04/05/2018 05:00,30.862,10677.8
4610,04/05/2018 05:10,30.862,8611.2
4611,04/05/2018 05:20,30.862,11711.2
4612,04/05/2018 05:30,30.862,11711.2
4613,04/05/2018 05:40,30.659,19289
4614,04/05/2018 05:50,30.862,11022.3
4615,04/05/2018 06:00,30.862,9644.5
4616,04/05/2018 06:10,30.963,18600.1
4617,04/05/2018 06:20,31.166,17222.3
4618,04/05/2018 06:30,31.064,14466.8
4619,04/05/2018 06:40,30.963,18600.1
4620,04/05/2018 06:50,31.064,14466.8
4621,04/05/2018 07:00,31.064,16533.4
4622,04/05/2018 07:10,31.166,15155.7
