Plot Title: 20277818,,,
#,"Date Time, GMT+00:00","Temp, øC (LGR S/N: 20277818, SEN S/N: 20277818)","Intensity, Lux (LGR S/N: 20277818, SEN S/N: 20277818)"
4579,04/05/2018 00:00,29.953,0
4580,04/05/2018 00:10,29.953,0
4581,04/05/2018 00:20,29.953,0
4582,04/05/2018 00:30,29.953,0
4583,04/05/2018 00:40,29.953,0
4584,04/05/2018 00:50,29.953,0
4585,04/05/2018 01:00,29.953,0
4586,04/05/2018 01:10,29.953,0
4587,04/05/2018 01:20,29.953,0
4588,04/05/2018 01:30,29.953,0
4589,04/05/2018 01:40,29.953,10.8
4590,04/05/2018 01:50,29.953,21.5
4591,04/05/2018 02:00,29.953,32.3
4592,04/05/2018 02:10,30.054,32.3
4593,04/05/2018 02:20,30.054,53.8
4594,04/05/2018 02:30,30.054,43.1
4595,04/05/2018 02:40,30.054,75.3
4596,04/05/2018 02:50,30.154,64.6
4597,04/05/2018 03:00,30.054,53.8
4598,04/05/2018 03:10,30.154,107.6
4599,04/05/2018 03:20,30.154,96.9
4600,04/05/2018 03:30,30.154,139.9
4601,04/05/2018 03:40,30.154,118.4
4602,04/05/2018 03:50,30.255,183
4603,04/05/2018 04:00,30.255,150.7
4604,04/05/2018 04:10,30.255,172.2
4605,04/05/2018 04:20,30.255,236.8
4606,04/05/2018 04:30,30.255,215.3
4607,04/05/2018 04:40,30.255,312.2
4608,04/05/2018 04:50,30.356,301.4
4609,04/05/2018 05:00,30.356,247.6
4610,04/05/2018 05:10,30.356,226
4611,04/05/2018 05:20,30.356,430.6
4612,04/05/2018 05:30,30.356,269.1
4613,04/05/2018 05:40,30.255,183
4614,04/05/2018 05:50,30.356,387.5
4615,04/05/2018 06:00,30.457,16533.4
4616,04/05/2018 06:10,30.862,31689.1
4617,04/05/2018 06:20,30.862,13777.9
4618,04/05/2018 06:30,30.862,16533.4
4619,04/05/2018 06:40,30.76,19977.9
4620,04/05/2018 06:50,30.862,24800.2
4621,04/05/2018 07:00,30.862,16533.4
4622,04/05/2018 07:10,30.862,26178
4623,04/05/2018 07:20,30.862,14466.8
4624,04/05/2018 07:30,30.76,15844.5
4625,04/05/2018 07:40,30.76,18600.1
4626,04/05/2018 07:50,30.963,15844.5
4627,04/05/2018 08:00,30.558,12400.1
4628,04/05/2018 08:10,30.659,20666.8
4629,04/05/2018 08:20,30.659,13777.9
4630,04/05/2018 08:30,30.862,12400.1
4631,04/05/2018 08:40,30.862,13777.9
4632,04/05/2018 08:50,30.76,12400.1
4633,04/05/2018 09:00,30.659,11711.2
4634,04/05/2018 09:10,30.76,12400.1
4635,04/05/2018 09:20,31.166,12400.1
4636,04/05/2018 09:30,30.963,13777.9
4637,04/05/2018 09:40,31.064,13777.9
4638,04/05/2018 09:50,30.963,11711.2
4639,04/05/2018 10:00,30.76,8611.2
4640,04/05/2018 10:10,30.963,8611.2
4641,04/05/2018 10:20,30.659,10677.8
4642,04/05/2018 10:30,30.659,5511.1
4643,04/05/2018 10:40,30.558,6200
4644,04/05/2018 10:50,30.659,7233.4
4645,04/05/2018 11:00,30.558,6544.5
4646,04/05/2018 11:10,30.558,2927.8
4647,04/05/2018 11:20,30.558,5338.9
4648,04/05/2018 11:30,30.457,4822.3
4649,04/05/2018 11:40,30.457,3788.9
4650,04/05/2018 11:50,30.356,3100
4651,04/05/2018 12:00,30.356,2669.5
4652,04/05/2018 12:10,30.356,2066.7
4653,04/05/2018 12:20,30.356,1722.2
4654,04/05/2018 12:30,30.255,1280.9
4655,04/05/2018 12:40,30.255,936.5
4656,04/05/2018 12:50,30.255,495.1
4657,04/05/2018 13:00,30.255,193.8
4658,04/05/2018 13:10,30.255,107.6
4659,04/05/2018 13:20,30.255,21.5
4660,04/05/2018 13:30,30.255,0
4661,04/05/2018 13:40,30.255,0
4662,04/05/2018 13:50,30.255,0
4663,04/05/2018 14:00,30.255,0
4664,04/05/2018 14:10,30.154,0
4665,04/05/2018 14:20,30.154,0
4666,04/05/2018 14:30,30.154,0
4667,04/05/2018 14:40,30.154,0
4668,04/05/2018 14:50,30.154,0
4669,04/05/2018 15:00,30.154,0
4670,04/05/2018 15:10,30.154,0
4671,04/05/2018 15:20,30.054,0
